Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:06.070;00:00:23.820;00:00:17.750;"Hey, this is Simba Khadder, and you're listening to the MLOps weekly podcast. This week I'm joined in Mark Freeman. Mark is a community health advocate turned data engineer. He received his masters from Stanford School of Medicine. He later founded On the Mark Data, where he connects brands with data professionals through his content."
1;Simba Khadder;00:00:24.120;00:00:34.920;00:00:10.800;"On the data and ML front, Mark has worked with numerous startups where he's put machine learning models in production, integrated data analytics of these products and led migrations to improve data infrastructure."
2;Simba Khadder;00:00:35.710;00:00:37.860;00:00:02.150;"Mark, so great to have you on the podcast today."
3;Mark;00:00:38.160;00:00:39.360;00:00:01.500;"Excited to be here."
4;Simba Khadder;00:00:39.610;00:00:47.060;00:00:07.450;"Well, I've given the quick intro on you. I'd love to hear in your words how your career has progressed over time."
5;Mark;00:00:48.470;00:01:04.780;00:00:16.310;"Where I'm currently at was not in my direction of where I thought my career was going. My story starts off where I thought I was going to be a doctor. I studied undergrad, preparing to take all the science classes. Then when I got into grad school, I did my Masters in community health and prevention research over at Stanford Med."
6;Mark;00:01:05.099;00:01:23.720;00:00:18.620;"That program was potentially to get me more prepared for medical school. Then being in there I realised, oh, my gosh, I hate this actually. I do not enjoy being in grad school. I love health care, I love learning, but grad school is just not the right environment for me. Imagine four more years of that through medical school, that just wasn't going to work."
7;Mark;00:01:23.920;00:01:52.830;00:00:28.910;"Being at Stanford, I had this unique experience where I was exposed to tech because it's in Silicon Valley, exposed to business, exposed to health care. Then because my program was very quant focused, I was learning how to code an R and do the statistics. Data science ended up being one of the top choices from that. I was like, wow, I can still pursue health care. I can still focus on trying to solve social problems, but I can scale it up via business and data. I just became obsessed."
8;Mark;00:01:52.990;00:02:16.340;00:00:23.350;"It ended up being a blessing in disguise because data ended up being my actual true passion where I just can't stop thinking about it. The roles I've been in as I've been a data analyst, I've been a data scientist, I moved on to be a data engineer, and now my next career role that I'm starting soon is going to be DevRel, specifically for the data engineering space of how can I create content and community around data engineers and talk about the problems I experience."
9;Mark;00:02:17.100;00:02:26.660;00:00:09.560;"My career has been really varied. I can go really into the specific parts if you're interested. But what I really like about it is I've touched a lot of parts of the data lifecycle, which has been really fun."
10;Simba Khadder;00:02:27.520;00:02:44.250;00:00:16.730;"I feel like a lot of data engineers come from either software background or true research backgrounds, or maybe they were always data engineers. There's a lot of ways, but it seems from your path, your first code was an R. You're definitely coming from that path."
11;Mark;00:02:44.250;00:02:44.250;00:00:00.000;"Yeah."
12;Simba Khadder;00:02:44.250;00:02:57.430;00:00:13.180;"Tell me about that. I guess how different is it to be writing our code as someone who's going to med school or whatever versus being a true data scientist? Is it similar, is it the same?"
13;Mark;00:02:57.760;00:03:15.110;00:00:17.100;"It's completely different in the sense that when I was writing R code, especially in grad school, academic code is not the best code. My goal is just to get the output for a statistical analysis and make sure the research design is really good, but I'm not thinking about how to write great code."
14;Mark;00:03:14.610;00:03:37.090;00:00:21.980;"I looked back to my code when I was a data analyst at Stanford doing clinical research for them, and my code is just a super long script, no functions really that much. It's just 400 lines of actions happening to get an output. That ends up getting published, not the code, but the output of it. That is really bad code."
15;Mark;00:03:37.090;00:03:55.150;00:00:18.060;"If I went into a job and did that, the software engineers would just get out. I'm not merging this into our trunk. For me, a big shift was actually going from, alright, this is how I write code in academia to do analysis. This is how I write effective code to help build a product."
16;Mark;00:03:55.720;00:04:10.380;00:00:14.660;"That actually took a few years. The first iteration was actually learning Python. One of my first jobs out of grad school wasn't even in data. It was in operations because I just didn't have the confidence to get the data job I want. But I knew I still wanted to be a data scientist."
17;Mark;00:04:10.380;00:04:23.860;00:00:13.480;"In operations, there's a lot of Excel workflows. I started automating all the workflows in Python. I taught myself Python over a course of a couple of months, started implementing those. The next stage was actually becoming a data scientist."
18;Mark;00:04:23.960;00:04:33.370;00:00:09.410;"Now, other people have to read my code. It's not just other people who aren't technical. Other people have to read my code, so now I'm being very intentional about how do I make my code easy to understand?"
19;Mark;00:04:33.460;00:04:49.390;00:00:15.930;"For data science, it's more so exploratory and making insights relevant and so following a certain pattern. I was still in health care when I did data science. Many times because in health care, it has to fall like research best practices, so making that very clear for that."
20;Mark;00:04:49.500;00:05:06.690;00:00:17.190;"Then for my next data science role, it was for a HR tech company, and that was very product focused. That's when I really started to learn how to write really effective code because that was one of my goals. I said, I want to learn what ML looks like in production. I want to learn what data science looks like in production. I want to work with the production code base."
21;Mark;00:05:06.880;00:05:27.240;00:00:20.360;"My manager is really amazing and makes sure I partner with software engineering a lot. That's when I actually learned how to code properly because I couldn't merge my code until a past code review. Code review is probably one of the most effective ways to learn how to write really great code, both doing code review and having your code reviewed by people that are much more talented than you."
22;Mark;00:05:27.740;00:05:47.260;00:00:19.520;"That's when I learned how to do unit tests, classes, logging, really strong doc streams, how to abstract things, how should I put it within the code base. That really came from thinking about from data science, less from insights, to data science as a product itself, how my data processes are going to be used in the product?"
23;Simba Khadder;00:05:47.440;00:06:02.420;00:00:14.980;"It's interesting that you had this progression from at first, the code didn't matter, it was just output. It sounds like even an analyst's role, that was true. You have a Jira ticket or something, it's like, hey, I have this question, answer it. You're like, I'll go answer it."
24;Simba Khadder;00:06:03.040;00:06:21.680;00:00:18.640;"Then you said as a data scientist, you started sharing code and collaborating, and then you're writing code for other people as well. You mentioned one way that really helped was to actually code reviews. Also talk about production code, how production code is very different from experimentation code. I actually want to break that down."
25;Simba Khadder;00:06:21.680;00:06:44.000;00:00:22.320;"Let's first talk about maybe the collaboration and experimentation amongst data scientists. How does that look like? I know everyone does it differently, but I'm just curious from your experience, if I'm a data scientist, or I want to be a data scientist, or I'm a data engineer working with data scientists, how do they collaborate? Are we messaging on Slack? Are we doing meetings? Why do we even collaborate?"
26;Mark;00:06:44.660;00:06:51.880;00:00:07.220;"Actually, I want to clarify the question. Are you talking about how data scientists work with stakeholders in general or with other data scientists? 'Cause they're different."
27;Simba Khadder;00:06:52.050;00:06:58.120;00:00:06.070;"I asked about data scientists with other data scientists. I'm also curious about the stakeholder piece. If you can answer both, that's even better."
28;Mark;00:06:58.120;00:07:17.190;00:00:19.070;"Yeah, I can answer both. I think a framework that I created... Long story short, for my first data science roles, I just wasn't effective and I made a big mistake. From that, I created a framework to make sure I never made that big mistake again. I call it the TRY framework, which stands for talk, requirements, iterate, build, and evangelise."
29;Mark;00:07:17.540;00:07:31.160;00:00:13.620;"This process is really going through how can I create effective data projects that drive value? A big part of this is very low vis decoding. It's actually the stakeholder management getting requirements on all those things."
30;Mark;00:07:31.160;00:07:57.060;00:00:25.900;"The talk stage is, say for instance, I have a request from a stakeholder and saying like, hey, we want XYZ insight. Well, the analogy I give is that most of these non-data people don't know what to ask for. It's so abstract to them. The way I describe that is if I asked you to tell me about one row in Excel sheet, that's really easy. If I asked you to tell me about a million rows in a sheet, all of a sudden your mind just blows and you're just like, how do I even manage that?"
31;Mark;00:07:57.650;00:08:17.030;00:00:19.380;"That's what our stakeholders are experiencing through that when they ask us questions. Our job as a data professional is to help guide our stakeholders to better questions. I'll get a request and I'll push back. I'm like, why are you answering this question? What business value is this driving? Is this a new feature coming out? Why is this metric more important?"
32;Mark;00:08:17.560;00:08:27.340;00:00:09.780;"Then from there, I can try to assess what's the scoping of trying to solve such a [inaudible 00:08:22]? To answer or create a data product to someone along those lines, is what would this require?"
