Number;Speaker;Start time;End time;Duration;Text
0;Speaker 1;00:00:06.010;00:00:20.650;00:00:14.640;"Hey, I'm SIM Mccauder, and you're listening to the MLS weekly Podcast. This week I'm chatting with David Stein, the tech lead of the ML feature infrastructure team at LinkedIn. Most recently, he's been working on and recently open source Fabric Feature Store. David, so good to have you on show today."
1;Speaker 2;00:00:20.770;00:00:22.530;00:00:01.760;"Thank you. Simply, it's good to be here."
2;Speaker 1;00:00:22.640;00:00:28.730;00:00:06.090;"Maybe we can start by just talking about your journey. Zamolo, what got you into how did that kind of journey look like?"
3;Speaker 2;00:00:28.890;00:01:38.530;00:01:09.640;"So, I've been at LinkedIn for about ten years. Pretty much the whole time I've been working on problems relating to Mlaps. We didn't call it ML Ops back at that time. The team I joined when I was new at LinkedIn was focused on the recommendation systems, the recommended system stack, and experimentation stack. As you probably know, and probably many of the listeners know, LinkedIn has a lot of use cases of machine learning in production to improve the personalization, the quality of a lot of different aspects of the product. And I was working on this team as a new hire that was building a bunch of the different recommender components. And there was definitely like an awareness going back ten years ago that there are a lot of common pieces and a need are generally utility of having good abstractions to try to minimize the redundant infrastructure kind of work that is needed in order to maintain and support any one of those kinds of vertical areas. Now, that's probably kind of obvious stuff to most people who are thinking about ML Ops now, but I've really been just working on these kinds of projects to support multiple different recommender and ML systems over this time at LinkedIn."
4;Speaker 2;00:01:38.650;00:01:54.570;00:00:15.920;"It's been a cool space to be in, definitely with all of the increasing interest, I guess, in the industry, in this space around how do we streamline putting machine learning in production, what kind of tools should be in place. That's kind of how I got here."
5;Speaker 1;00:01:54.740;00:02:15.020;00:00:20.280;"So you mentioned how you've been doing MLOps since before it was ML Ops. That makes a lot of sense. I mean, Missionary has been around a lot longer than the term MLOps has been around. It's been production a lot longer than the term amongst has been around. What stays consistent, what has remained kind of the same. And how you think about ML ops, how you think about structure over your career?"
6;Speaker 2;00:02:15.170;00:03:29.750;00:01:14.580;"Good question. So what has been consistent, I would say, is a lot fundamentally, I think that machine learning development, applying machine learning to solve business problems. For a company like LinkedIn, it's a very experimentation driven process. It's like we have teams of researchers and engineers searching for the best algorithm, the best models and feature engineering feature definitions, searching to be able to find the best algorithm to do the best possible job at helping LinkedIn members find job postings that are a good fit for them, or helping people find relevant search results or these problems. So this search, we may be able to search the space efficiently. And I think that there has been an awareness for a while about the sort of obvious importance of making that efficient as possible, to be able to productively search the space of solutions, to be able to try new things, to be able to try new things effectively and safely, be able to get them into production and be able to understand the impact. I would really say it's about being able to try things easily and also being able to understand the current state so that you know what next thing is, Bill to try."
7;Speaker 2;00:03:29.850;00:03:35.330;00:00:05.480;"There's like a lot more I could say. If you have any questions about what I said, you can go in any direction with that."
8;Speaker 1;00:03:35.430;00:04:01.420;00:00:25.990;"Yeah, one thing you've said, actually a few times, you've said I'm a lost on infrastructure. And you kind of have a distinction, I think, how you think about them, which I think I do too. We made up the term virtual feature storage, I think, or like that whole term exists around the whole mop idea as opposed to the unfit structure idea. It kind of creates a separation. How would you define maybe first MLPs and then ML infrastructure, in your own words?"
9;Speaker 2;00:04:01.620;00:04:36.760;00:00:35.140;"Sure. So I see ML ops to be about operations, the ability to move models to production. So similar to how I think about things like CICD pipelines for general Software Engineering and development. I think that we could probably describe subdomain of machine learning infrastructure and tools that are specifically focused on being able to try things quickly, safely put models in production, define new features easily, readily predictably, reliably with transparency into their metrics and things like that."
10;Speaker 1;00:04:36.960;00:04:58.760;00:00:21.800;"Yeah, I think another way to say it, I think you've been over getting it. I'm the opposite of the workflow part and infrastructure. Maybe it's like the underlying all the tools that kind of come into play, like the serving infrastructure and the training infrastructure. And that's where the CITV analogy maybe comes in. Citizens do anything by itself. It kind of coordinates everything."
