Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:05.470;00:00:23.120;00:00:17.650;"Hi, I'm Simba Khadder, and you're listening to the MLOps weekly podcast. Today I'm chatting with Atindriyo Sanyal, one of the founders of Galileo, Data Quality Platform. Prior to Galileo, he architected the Michelangelo, a feature store at Uber and worked on the ML platform Powering Siri. Atin, it's great to have you on the show today."
1;Atindriyo Sanyal;00:00:23.260;00:00:25.630;00:00:02.370;"Thank you for having me. It's great to be here, Simba."
2;Simba Khadder;00:00:25.750;00:00:30.760;00:00:05.010;"So I like to start with the question of what does MLOps mean to you?"
3;Atindriyo Sanyal;00:00:30.900;00:01:13.160;00:00:42.260;"That's a good question. MLOps, I think to me, it's really about bringing the discipline of DevOps in application development, which includes software design, unit integration, testing, the whole gamut of CI CD, including monitoring and observability, but bringing that to machine learning models, because models are simply software artifacts, just like libraries and APIs and services. The same principles sort of apply to automating the lifecycle of ML models right from the pre training phase, including feature engineering, all the way to deployment and monitoring. So in a nutshell, it's really about applying software engineering principles, but for models."
4;Simba Khadder;00:01:13.310;00:01:35.570;00:00:22.260;"So I love some ops analogy. It's a commonly used one. And I think I still kind of feel like everyone's still fleshing out what it really means, like what should be the same and what should be different. So you talk a lot about the parallels of what should be the same, but what is the difference? Almost like, why does MLOps have to exist? Can we just do everything in MLOps with DevOps tools? Or what does MLOps have that's unique?"
5;Atindriyo Sanyal;00:01:35.760;00:02:45.850;00:01:10.090;"Yes, that's a good question. So the way I see it, there are some nuances in machine learning, which makes MLOps a little bit different from traditional DevOps. And that primarily has to do with the APIs and the libraries that you sort of expose as part of your MLOps platform to be able to build models. Overall, it is similar in that even model code is just like application code, except that models are architected in a slightly different way than traditional software applications. So the differences are mostly in the APIs that an MLOps platform would expose to a data scientist. And a good MLOps platform, to that extent would essentially include the right abstractions, where you abstract away the complex feature engineering, for example, or deploying the models at scale while you surface the right endpoints. And the APIs to data scientists to be able to build custom ML pipelines that can sort of cater to their ML needs. And that, I think, in a nutshell, is sort of the difference between MLOps and DevOps. Got it."
6;Simba Khadder;00:02:45.970;00:03:04.070;00:00:18.100;"And on a similar thread, you've seen things from Apple at Siri and you've seen Uber, and now you're kind of going on working on Galileo and I guess, what's the North Star for MLOps, in your point of view? And then what does the perfect MLOps workflow look like, especially from a data scientist's point of view?"
7;Atindriyo Sanyal;00:03:04.230;00:04:23.700;00:01:19.470;"That's a good question. I think perfect MLOps workflow is really about, as I said, automating and abstracting away the right parts of the machine learning workflow while giving the flexibility and customisability to certain other parts. For example, a good MLOps workflow would automate the management of features but give you the right API's to design custom sort of transformation pipelines for your model. A good MLOps workflow would automate the deployment of models at scale and provide centralized monitoring and observability of all kinds of metrics. There's system level metrics, memory CPU, there's model level metrics like feature drift and prediction drift. So a good ML Op system, it's really not about click button ML, but rather you want to give modular APIs to data scientists so they can create ML pipelines which are custom and powerful and cater to their needs while giving the data and the features at their fingertips without them having to worry about how the feature values are kept up to date, how they're materialized. And once the models in production, you really want to give them tight SLAs and a robust alerting system so that they know when the models have gone wrong in their predictions."
8;Atindriyo Sanyal;00:04:23.790;00:04:33.360;00:00:09.570;"And you really want to tighten the loop on model downtimes and the way you can sort of retrain your model quickly and push it back into production."
9;Simba Khadder;00:04:33.510;00:04:51.770;00:00:18.260;"Where this experimentation fit into all this? Because a lot of what you've talked about is very oriented towards getting things into production. And I guess experimentation is obviously a really big part of machine learning that's I think unique to it compared to other disciplines of engineering or software engineering in particular. Where did experimentation fit into mob?"
10;Atindriyo Sanyal;00:04:51.900;00:06:05.630;00:01:13.730;"Yes, that's a good question. Experimentation sort of falls. So if you were to draw the ML lifecycle on the left hand side, you have the pretraining phase where you're choosing the right features for your models, then you have training and validation and evaluation and finally you do testing and you deploy your model. So experimentation is kind of sprinkled across the workflow at each point. It's almost like a sort of check to make sure that the model is performing per expectations at each point of the workflow. But it focuses a little more towards the left, where you're essentially choosing the data that you are fitting onto your model. You're choosing the right evaluation and test sets to test your model against. And then there's also, of course hyper parameters where you want to choose the right hyper parameters to get the best model for your data. So a lot of that has to do with experimentation. And today in a lot of the AutoML platforms, experimentation is typically done by spanning out different training jobs and really just choosing the one which gave the best result on a held out test set, which is sort of the sacrosanct data set."
11;Atindriyo Sanyal;00:06:05.790;00:06:18.110;00:00:12.320;"So experimentation is super critical to churning out a really good model, and it is sort of sprinkled across the different parts of the work flow, but it's primarily sort of left leaning."
12;Simba Khadder;00:06:18.300;00:06:59.900;00:00:41.600;"Yeah, it's super interesting how, like, everyone's mental map of the workflows is very different because I like the idea of this kind of flow from almost like data to production and monitoring and experimentation is almost like a layer that sits above all of it. And you've seen an infrastructure, both an Apple and an Uber. And what I've seen, it seems like the big companies actually have a much harder time building ML platforms. It's because there's so much bigger. We're spanning so many different use cases where Uber maybe was able to be more opinionated, and it seems like they were able to. But I'm curious. You've seen it on the inside of both places. What would you say the big differences are between how Apple and Uber built their machine learning infrastructure?"
13;Atindriyo Sanyal;00:07:00.050;00:08:12.070;00:01:12.020;"Yeah, both companies have published very interesting and innovative research in the machine learning space in the last two to three years. Although at Apple, the ML infrastructure is very decentralized. For example, the Maps team has their own internal ML stack, and so does the series team. And there's very little sharing. And that's just because of the way Apple at least has grown in its software services field in the last ten odd years. Even the research teams over there are pretty siloed. But Apple is now slowly trying to bring all the ML services together under a single umbrella. But given how big the company is, it's a very long process. Uber, on the other hand, is very interesting because they started with a centralized model of right from day zero. And I think that kind of worked in their favor because technologies like the concept of feature stores was evangelized at the company due to a company wide need for organizing and centralizing data for all their machine learning models. But that said, I think the scale challenges at both companies are very similar. Hence, the entire gamut of technologies that they use are fairly similar."
14;Atindriyo Sanyal;00:08:12.130;00:08:44.480;00:00:32.350;"There's a good amount of overlap. It's also very good to see Apple contributing a lot to open source. More recently, in the past systems like Spark, over the last two, three years, Apple has made significant contributions. Uber, on the other hand, has always been very actively involved in the open source community. A lot of key open source technologies came out of the MichaelAngelo team at Uber, for example, with Horoward and Ludwig, and these technologies have been adopted right across the industry. So I would say those are the key differences between Apple and Uber."
15;Simba Khadder;00:08:44.630;00:09:32.300;00:00:47.670;"Yeah, it makes a lot of sense. It's actually a very succinct way to put it. When we go and talk to large banks, for example, we find that a lot of times they have very decentralized infrastructure. And it's almost because when they started to really invest in their infrastructure, it was kind of very had many different teams, so they kind of had to be decentralized. Where I feel like Uber and some of these other companies are in the sweet spot of size, where they could invest in infrastructure, but they could also just do one centralized approach with the decentralized ones we've talked about like Apple and Siri, which is voice and it's a whole different kind of tablet data. Did the platform look similar? Like was there kind of the same idea of like a feature store of monitoring? Did everything kind of look similar to how it would look at Uber or was it a different architecture completely?"
16;Atindriyo Sanyal;00:09:32.810;00:10:46.990;00:01:14.180;"Yeah. No, I spent about half a decade there, so I kind of saw the evolution of these NLP systems going from these rules based engines to starting to use basic models like Bayesian Classifiers and Decision Trees all the way to now the more powerful transformer models that they use today. But the architecture was similar to the way you would design any end to end software stack. Siri, for example, there was a speech team, of course, which dealt with the initial sort of stream of speech data, converted that to text, which went to a separate service, which was the NLP service, which initially was a set of rules which punched out an intent at the end of it. And slowly those rules were sort of replaced with a bunch of models. And that's how machine learning kind of came into the core part of serious natural language understanding. Speech side of machine learning evolved separately. So there were always these two separate stacks of ML, one for speech and one for a natural language NLP classification which evolved separately. But they're sort of again trying to find commonalities between the two stacks and trying to centralize them under one umbrella."
17;Atindriyo Sanyal;00:10:47.110;00:11:38.270;00:00:51.160;"But overall I think the system was initially in the initial years it was designed for scale and a lot of focus was on sort of making theory faster. And it's towards the end of 2015, 2016, when they really started to make theory less rules based and more machine learning oriented. The NL system hosted a whole bunch of models which were retrained almost daily on new data. And the stack for the retraining, the automation was similar to what you would see any other company. And in more recent times though, I think with the evolution of Transformers and other kinds of models, more powerful NLP models, there has been a focus at Apple from this is of course hearsay and I hear from my old colleagues who work there still that they're building custom transformer models and their custom embeddings for Siri."
18;Simba Khadder;00:11:38.460;00:12:04.640;00:00:26.180;"It's super interesting. Yeah, we obviously released embeddinghub, so we've seen the same sort of thing of embeddingsfirst-class kind of finding their way as a first class entity of machine learning, kind of like what you talked about before. The artifacts, the embeddings kind of become their own sort of artifact. So I guess you would say probably that across NLP computer vision and the traditional tabler machine learning, the platforms look pretty similar. It's almost like you may have one or two extra add ons. Is that fair?"
19;Atindriyo Sanyal;00:12:04.780;00:13:21.720;00:01:16.940;"I think the challenges for if it's unstructured versus structured data, I think the challenges remain the same. The main sort of software engineering challenge around both data modalities is really around data management at scale and ensuring that models perform at low, latency and high throughput. So those challenges remain the same. The techniques though is where the different sort of comes. For example, if I talk about data quality in particular, there's data quality issues that you would look for when it comes to structured data models versus in unstructured data models. And that sort of really comes down to math and statistics because a lot of the unstructured data is essentially just vectors, including embeddings. So there's a lot of powerful things you can do around Embeddings using spatial geometry, even basic things like cosines distance calculations and optimizing those at scale. There are problems which are very particular to unstructured data. On the other hand, in structured data, the problem which I saw a lot at Michelangelo was data scientists essentially throwing the kitchen sink of features at a model. Over 200, 300 features would be thrown at a model and a feature store like system makes it easier to fetch features."
20;Atindriyo Sanyal;00:13:21.750;00:14:06.320;00:00:44.570;"So it kind of makes the whole process even more indisciplined in a way. So there you can have data quality tooling that can sort of measure things like feature redundancy and the relevance of features to labels. And even that has there's some element of statistics to it where you measure the distribution of the values and sort of correlate it to the labels. And that way you can eliminate in some cases we saw over 80% of the features were redundant, so you could literally eliminate it from your feature set without having any impact on the model. So there are some differences in the way you would measure certain data quality metrics for unstructured and structured data, but in principle, in the software engineering, challenges sort of remain the same. Got it?"
21;Simba Khadder;00:14:06.340;00:15:03.320;00:00:56.980;"Yeah, that's a great way to put it. I think that very much captures most of the nuance that comes into those things. I think we've done a few of these and some things that have all come up. It's funny because we're different. People live in the stack, they'll almost have different answers to these things as a perspective. So when you talk to someone who's focused on labeling, they'll say like, oh, it's completely different. And it makes sense because for labeling it is a very different problem. But for kind of feature engineering and building models, it looks similar. If you zoom out a little bit, it looks similar. Like you said, there are specialized techniques. But yeah, it's fascinating. And I think as this space evolves, we'll start to really see how the market really decides they want these ML platforms to work. Will there be one generic one that has different kind of almost like specialized deployments, or does it end up with your vision platform versus another platform? And I think it will be very interesting to see as the space plays out, for sure."
22;Atindriyo Sanyal;00:15:03.400;00:15:47.330;00:00:43.930;"I think yeah, you mentioned an interesting point about labeling which I forgot to touch upon, and I think that's one of the key differences in some of them. I think labeling is like a huge cost overhead, especially in the computer vision, unstructured data machine learning side. Most of the models, at least at Uber, we saw with structured data, the labels are kind of auto generated. So the ground truth kind of comes from the events which transpire on the system, for example, if the ride was taken or not, or if it was successful or not. So labeling is not a big issue there. But in computer vision, labeling is a very, very manual, human error prone process and it's literally a multi billion dollar industry of its own."
