Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:03.120;00:00:23.660;00:00:20.540;"Hey, Simba Khadder, and you're listening to the MLOps Weekly podcast. Today, I'm chatting with Bob van Luijt, the CEO of SeMI Technologies, which are the creators of Weaviate. Bob spent the majority of his career working on open source and now he's fully focused on building an open source effective database. Bob, it's so great to have you on the show today."
1;Bob van Luijt;00:00:23.890;00:00:26.530;00:00:02.640;"Thanks for having me, Simba. It's great to be here."
2;Simba Khadder;00:00:26.690;00:00:31.730;00:00:05.200;"I gave a little intro on you, but I'd love to hear your journey. How did you get into MLOps?"
3;Bob van Luijt;00:00:31.730;00:00:54.860;00:00:23.130;"Yeah. It depends with how far you want to go back? But I'm working in software for a very long time so the story that I always like to tell us that I'm at an early millennial. I grew up with the Internet. It was when I was born, it wasn't really there yet, but it was like when I was like 10 years old or something. We got it in the home."
4;Bob van Luijt;00:00:54.860;00:01:28.610;00:00:33.750;"At some point when I was like in high school, actually, and this is just the standard story. I make a few web websites, those things. Somebody said, ""Hey, I need a website."" Then, you can charge some money for that. Then that is how that started and that is how my career basically grew. Now, fast forward a few years in the future, I was very intrigued by everything that was happening from an NLP perspective. It Word2Vec and a little bit later fastText, but before transformers."
5;Bob van Luijt;00:01:28.690;00:01:53.240;00:00:24.550;"It's in between, that time in between. That was really from a software perspective or dare I say maybe with a hacker mindset so I was like, ""How can I use this? How can I solve problems with this?"" One of the problems that I was struggling with was the problem like how do I deal with data objects that are similar in nature, but don't describe things in the same way?"
6;Bob van Luijt;00:01:53.990;00:02:22.520;00:00:28.530;"I was back then working actually on an IoT-related project where I got data in from different vendors that talked about the same stuff that was from a semantic perspective, similar, but it was described differently. I was playing around with calculating centroids back then, just individual word vectors. Out of that, the idea was born like ""Hey, wait a second, maybe we can actually store data based on these vectors."""
7;Bob van Luijt;00:02:22.670;00:02:45.540;00:00:22.870;"Actually in the early days and those who go back to the Weaviate repo and go back in history can actually see that we tried to do that in other databases. Then I met my co-founder HN and HN's like, ""Wait a second. I actually think that a database that is really optimised for doing this well."""
8;Bob van Luijt;00:02:45.540;00:03:01.850;00:00:16.310;"Specifically for factors and maybe later in the internal conversation, we can talk about why that is the case. I started to become more interested in everything that's surrounded, maybe a little bit more from a product perspective, go-to-market marketing, those things."
9;Bob van Luijt;00:03:02.290;00:03:36.140;00:00:34.290;"With a small team, we started to work on Weaviate and that's actually how it's born. We came from this software engineering background believing that the whole, depends how you call about ML first or AI first or if you want to approach to solving problems with software whilst being the next big thing. That's how we ended up in this space. It's not a data science background, but really like a software background. I guess that's the almost short answer to your question."
