Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:06.300;00:00:20.940;00:00:14.640;"Hi, I'm Simba Khadder and you're listening to the MLOps weekly podcast. Today I'm going to be speaking with Chris White, the CTO of Prefect. Chris began his journey into data tooling while he was getting his PhD in mathematics at the University of Texas at Austin."
1;Simba Khadder;00:00:21.640;00:00:35.350;00:00:13.710;"He then became a data science manager at Capital One and joined Prefect as the first employee in 2018. Chris has been a teacher, a researcher, a data scientist, a software engineer, a sales engineer, and a security officer, just to name a few things."
2;Simba Khadder;00:00:35.600;00:00:43.620;00:00:08.020;"These experiences feed into his leadership at Prefect. He's a fellow surfer, so it was good to run into each other in the data space. Chris, it's so great to have you on the show today."
3;Chris White;00:00:44.260;00:00:45.900;00:00:01.640;"Yeah, thanks for having me. Happy to be here."
4;Simba Khadder;00:00:46.700;00:00:53.080;00:00:06.380;"I know I just gave a little brief bio of yourself, but I'd love to hear in your words, what was your journey to get to Prefect today?"
5;Chris White;00:00:54.900;00:01:17.150;00:00:22.250;"So a little long and circuitous, but starts basically when I was in grad school. I got my PhD in math at UT Austin under Rachel Ward, and the work that we were doing was definitely theoretical. It was pure math, but it was related to signal processing, compressed sensing, and optimization."
6;Chris White;00:01:17.480;00:01:38.200;00:00:20.720;"It was right around the time when a lot of people were leaving academia to go into finance and machine learning. Of course, I got a little interested, and our work was very related to a lot of the research going into that. Started coding a little bit more, getting in the weeds there, and then doing some consulting for various..."
7;Chris White;00:01:38.190;00:01:50.950;00:00:12.760;"Did some algorithms consulting, did some actual just managing and munching data. Just got interested in that. One of the things that I struggle with a lot when I was finishing up my PhD was whether to go industry or academia. That's the big question."
8;Chris White;00:01:51.360;00:02:08.410;00:00:17.050;"I do really love math. I really love math research. I loved it all, but I did find myself gravitating towards just fire hoses of problems more than big picture research vision. Industry, especially at that time, was producing problems daily."
9;Chris White;00:02:08.460;00:02:26.870;00:00:18.409;"I made the switch and I went to Capital One as a data scientist. It was right when Capital One was doing their big cloud migration from on-prem servers to AWS. Also got a little lucky to be a part of all that. I got to see both worlds, the old world and the new world, and what were the pain points of doing that migration."
10;Chris White;00:02:27.280;00:02:46.280;00:00:19.000;"On day one, I was writing white papers, building predictive models, justifying those models to regulators, all of that fun, pure data science. But because of this transition that was happening, I ended up helping my team out a lot by just writing lots of tooling for these things. They were on new platforms they didn't fully understand, so I helped there."
11;Chris White;00:02:46.270;00:03:03.740;00:00:17.470;"I was teaching courses about some of this stuff, which is just really cool thing that Capital One lets people do. Anyway, long story short, I got deeper and deeper into actually just writing software that helped unlock efficiencies in data teams, which either is data science or business analysts or data engineers."
12;Chris White;00:03:03.920;00:03:19.110;00:00:15.190;"By the time I left Capital One, I was on a team that was building a platform that connected data scientists and the finished models that they would build to business analysts who would then interact with those models with a Python SDK that we built on a platform that we maintained."
13;Chris White;00:03:19.460;00:03:36.060;00:00:16.660;"You can see the early seeds of the user experience that we care about at Prefect is like making sure that both highly technical users can get what they need out of it, but also making sure that people who aren't classically considered super technical can interact with it."
14;Chris White;00:03:36.160;00:03:54.960;00:00:18.800;"Anyways, during that time, got really involved in open source in the Python world, Dask in particular. That is how I ended up meeting Jeremiah, who's the founder and CEO of Prefect, and he hadn't started the company yet. He was just playing around with this idea. He used to be on the Airflow PMC. He was at the time when he was experimenting with this."
15;Chris White;00:03:54.960;00:04:09.550;00:00:14.590;"He had built this tool for himself because Airflow just wasn't meeting his needs. It wasn't scalable enough. The scheduler just fell over all the time. He needed a lot more ad hoc parametrized interactions with his workflows. That's a hallmark, I think, of data science is it's not really a batch thing."
16;Chris White;00:04:09.850;00:04:21.329;00:00:11.479;"It's just something happens. It could just be me wanting to run an experiment and I want to see the output through some parameters in. He had come across my desk work. He wanted to make sure dask founder-ledwas a first class citizen."
17;Chris White;00:04:21.360;00:04:37.650;00:00:16.290;"People could write highly scalable workflows. So we started pairing together a little bit. Next thing you know, he's like, Hey, I'm starting a company and I'd love for you to join as the founding engineer and made the switch. It was right when I was moving to California, too. Just a ton of things were changing."
18;Chris White;00:04:37.840;00:04:45.950;00:00:08.110;"That's always a little scary, but definitely never looked back. It was an awesome decision. It's been a fun, wild ride ever since."
19;Simba Khadder;00:04:46.240;00:05:01.900;00:00:15.660;"That's awesome. It's so interesting to me to see. There's a handful of companies, Capital One being one of them, not one people think of as really tech forward. But I know, and you obviously know, some of these companies are really good at this stuff. They've been doing it forever."
20;Simba Khadder;00:05:01.890;00:05:17.170;00:00:15.280;"They have a lot of resources invested in doing data science and machine learning well. Arguably, their problem space is even harder. You said regulators, I know what goes into that. We have users who we have to deal with that stuff, and it's not easy."
21;Chris White;00:05:18.350;00:05:38.680;00:00:21.040;"I have a theory about Capital One, actually. One of those things that surprises people, Capital One is still founder led. Rich Fairbanks was the founder of the company and is still the CEO. I think that really translates to the culture that they have where he still just cares a lot about what he's doing. It's not just a CEO job to him."
