Number;Speaker;Start time;End time;Duration;Text
0;Simba khadder;00:00:03.000;00:00:20.830;00:00:17.830;"Hey, I'm Simba Khadder and you're listening to the MLOps Weekly podcast. This week, I'm chatting with David Stein, the tech lead of the ML feature infrastructure team at Linkedin. Most recently, he's been working on a recently open- source fabric, the Linkedin's Feature store. David, it's so great to have you on the show today."
1;David Stein;00:00:20.830;00:00:22.630;00:00:01.800;"Thank you Simna, it's good to be here."
2;Simba khadder;00:00:22.630;00:00:28.990;00:00:06.360;"Maybe we can start by just talking about your journey to MLOps. What got you into MLOps? How did that journey look like?"
3;David Stein;00:00:29.230;00:00:46.690;00:00:17.540;"I've been at Linkedin for about 10 years. Pretty much a little time has been working on problems relating to MLOps. We didn't call it MLOps back at that time. The team I joined when I was new at Linkedin was focused on the recommendation systems, the recommender Systems Stack and Experimentation Stack."
4;David Stein;00:00:46.690;00:00:59.510;00:00:12.820;"As you probably know, and probably many of the listeners know, Linkedin has a lot of use cases of machine learning in production to improve the personalization and the quality of a lot of different aspects of the product."
5;David Stein;00:00:59.950;00:01:24.990;00:00:25.040;"I was working on this team as a new hire that was building a bunch of the different recommender components and there was definitely like an awareness, going back 10 years ago that there are a lot of common pieces and a need, a definitely utility of having good abstractions to minimize the redundant infrastructure work that is needed in order to maintain and support any one of those kinds of vertical areas."
6;David Stein;00:01:24.990;00:01:38.590;00:00:13.600;"Now, that's probably obvious stuff to most people who are thinking about MLOps now, but I've really been just working on these projects to support multiple different recommender and ML systems over this time at linkedin."
7;David Stein;00:01:39.060;00:01:54.740;00:00:16.150;"It's been a cool space to be in, definitely with all of the increasing interest, I guess, in the industry in this space around how do we streamline putting machine learning and production, what tools should be in place. That's how i got here."
8;Simba khadder;00:01:55.290;00:02:15.130;00:00:20.240;"You mentioned how you've been doing MLOps since before it was MLOps. That makes a lot sense, machine learning has been around a lot longer than the term MLOps has been around. It's been production a lot longer than the term MLOps has been around. Let's say consistent. What has remained the same in how you think about MLOps, how you think about ML structure over your career?"
9;David Stein;00:02:15.130;00:02:43.800;00:00:28.670;"Good question. What has been consistent, I would say, is a lot. Fundamentally, I think that machine learning development, applying machine learning to solve business problems for a company like Linkedin, it's a very experimentation- driven process. It's like we have teams of researchers and engineers, searching for the best algorithm, the best models and feature engineering, feature definitions."
10;David Stein;00:02:43.800;00:02:58.800;00:00:15.000;"Searching to be able to find the best algorithm to do the best possible job at helping linkedin members find Job postings that are a good fit for them or helping people find relevant search results or these problems. This search, we need to be able to search this space efficiently."
