Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:03.000;00:00:32.520;00:00:29.520;"Hey, everyone. I'm Simba Khadder, and you're listening to the MLOps Weekly Podcast. Today, I'm speaking with Doris Xin. She's the CEO and founder of LineaPy, which allows you to move your data science prototypes into production easier. She started her career at Linkedin, where she was a software engineer. She then, throughout her career, has worked on MLOps and ML before it was cool, across Databricks, Google, Microsoft, and more. Doris, so great to have you on the show today."
1;Doris Xin;00:00:32.619;00:00:36.300;00:00:03.680;"Thanks so much for having me, Simba. Super excited to talk to you about MLOps."
2;Simba Khadder;00:00:36.420;00:00:42.700;00:00:06.400;"I gave a little intro of you, but I'd love to get it from your side. What's your story? How did you get into MLOps?"
3;Doris Xin;00:00:42.700;00:01:03.410;00:00:20.710;"Great question. My journey actually started about a decade ago. I did computer science in undergrad, pretty much took all the AI, ML classes I could possibly get myself into, got really excited about the field. My first job out of college, I was what we now call a machine learning engineer. Back then, it wasn't even a title yet."
4;Doris Xin;00:01:03.600;00:01:24.850;00:00:21.250;"Team had over 30 ML PhDs on it. It's really funny that your last two guests were all on the same team at the same time with me. But that's where I really got the first exposure to industry machine learning, and also all the challenges around how do you put models into production. Once you've done the experimentation, that's really just the first step."
5;Doris Xin;00:01:24.850;00:01:52.680;00:00:27.830;"There are so many other things that you need to be able to take on, including creating pipelines, including creating dashboards, and that's really the bulk of the work that actually allows us to generate value from machine learning. This is where I really got into not only thinking about how do we productionise machine learning, but how do we build developer tools to really support people to be a lot more productive and a lot more impactful with their data science and machine learning efforts."
6;Doris Xin;00:01:52.800;00:02:12.550;00:00:19.870;"I ended up doing my PhD in machine learning systems with a pretty heavy focus on developer experience. My mission was to be able to help people iterate on models faster, be able to bring things into production faster. This is a mission that's been following me around for a decade, and it continues to follow me into what we're doing at Linea today."
7;Simba Khadder;00:02:12.750;00:02:15.710;00:00:03.160;"For us listeners who don't know, what are you doing at Linea today?"
8;Doris Xin;00:02:15.860;00:02:38.780;00:00:22.920;"Thanks for asking that question. I am founder and CEO of Linea. We are an MLOps startup, just like Featureform. What we do is we're helping data scientists take raw development code, be it in Jupyter Notebooks or raw Python script, be able to clean it up, refactor it, turn them into data pipeline, so we can really shorten the cycle from development to production."
9;Simba Khadder;00:02:38.780;00:03:08.270;00:00:29.490;"I really want to jump into notebooks, just because notebooks are such an interesting and polarising topic found in MLOps. Some people will go as far as to be [inaudible 00:02:49] like ""They should never be used. They should be as far away from production as possible,"" to the other camp of, ""Notebooks are the atomic element of data science. That's what we should be working off of."" How do you view notebooks in the data science process? How should they fit into production machine learning?"
10;Doris Xin;00:03:08.270;00:03:31.320;00:00:23.050;"Like many others, I also have very strong opinions on this front, but perhaps in a slightly different way. Notebooks are extremely well-suited for data science development. Data scientists are constantly looking for really fast insights and they need to iterate very quickly on their data. Notebooks with their incremental views, with their incremental execution is really well suited for that type of work."
11;Doris Xin;00:03:31.320;00:04:06.130;00:00:34.810;"However, when we're talking about production environment, you have a very different set of concerns. We care about scalability, we care about stability, we care about all sorts of other good engineering practices. While you can repurpose your notebooks to be able to fit what you need in production, it really feels like we're misusing a very powerful tool that's meant for a different purpose. Because of that, I think, again, notebooks are great for development. Putting them into production simply feels like it's the wrong form factor for what needs to go into production."
12;Simba Khadder;00:04:06.130;00:04:36.960;00:00:30.830;"I'm in the same camp. I think notebooks… The name Notebook is referencing the scientific tool of using a notebook and journaling and keeping track and thinking and experimenting, documenting everything you're working on. But productionising is a whole different game. I guess how would you frame the workflow then? If I'm a data scientist, I'm working on my notebook, I'm coming up with insights, I'm coming up with ideas, features, models, everything. I want to start getting things into production. How do you think of that workflow? How should it work?"
13;Doris Xin;00:04:37.160;00:05:03.140;00:00:26.180;"I think what we really need to go from development to production is being able to reproduce what's happened in development in a high-fidelity way. The issue with notebooks there is that because you're able to execute cells out of order, modify cells, and overwrite your work, a lot of times the end result for a notebook is not something that actually allows you to reproduce the exact model that you are hoping to productionise."
14;Doris Xin;00:05:03.340;00:05:38.830;00:00:35.490;"This is something that Linea has a pretty unique solution to, which is while you're working, there is that execution history that does fully capture how you got to the final model. If we're able to capture intermediate states, if we're able to eagerly capture everything during development, there is a path forward for being able to revisit the entire session and figure out what is basically the necessary subset of operation that led to the final what we call artifact. Artifact can be a model, chart, data set, what have you—whatever a data scientist is working towards."
15;Doris Xin;00:05:39.150;00:06:01.640;00:00:22.490;"The key difference here is that we embrace the chaotic nature of development. We understand there's a lot happening, and we really don't force data scientists to be constantly thinking about software engineering. ""I need to clean up my code. I need to make sure that I record everything."" That's just not what data scientists need to focus on when they're developing data insights."
16;Doris Xin;00:06:02.270;00:06:20.280;00:00:18.010;"We take an approach of, ""Let us worry about all of that. Let us eagerly capture everything."" We understand that most of the stuff is going to be throw away, so we have a very intelligent way of saying, ""We can figure out automatically what is the important subset of operations that will eventually make it into production."""
17;Simba Khadder;00:06:20.280;00:06:37.150;00:00:16.870;"You've touched on it a little bit. But just so it's clear, I guess, what's a unique take you have on MLOps? In designing Linea, what's the opinion you hold strongly that you think maybe isn't currently obvious to MLOps practitioners?"
18;Doris Xin;00:06:37.430;00:07:08.720;00:00:31.570;"We see a pretty big divide between the development tool stack and the production tool stack, and there is a constant need to be able to translate from one to the other. The key insight that we have is these tool stacks, even though they look very different, they're describing the exact same logical workflow. If there is a way for us to be able to capture that and be able to distill that out of the development side, there is a path forward where we no longer need people to essentially translate themselves into a different tool stack."
19;Doris Xin;00:07:08.880;00:07:25.860;00:00:16.980;"That's the key insight that allows Linea to bridge the gap between development and production by automating a lot of the engineering concerns around cleaning up notebooks, cleaning up scripts, and then translating them into pipelines that can be deployed into production."
20;Simba Khadder;00:07:25.860;00:07:52.000;00:00:26.140;"Maybe jumping into a slightly different topic. I really like what you're saying because I do think one thing I've seen, at least, with a lot of MLOps practitioners, is they don't really empathise with the data scientist, who's really the end user. A lot of what we focus on—and clearly, what you guys focus on, based on what you're saying—is trying to meet data scientists where they are and not trying to force them to, like, ""You're doing everything wrong. You should be writing this in Java."""
21;Simba Khadder;00:07:52.000;00:08:17.760;00:00:25.760;"One thing that I think that's been really interesting for me to see has been almost an explosion of MLOps in the past few years. You've been doing MLOps, like you said, for a while now, and you've seen how it's changed over time. You've seen the term come to existence. Why do you think that is? Why did MLOps blow up in the last couple of years? Why didn't it start earlier? What's the ""why now"" of MLOps, in your opinion?"
22;Doris Xin;00:08:18.040;00:08:36.860;00:00:19.100;"That's a really great question, and a very big question. A couple of thoughts here. The first one is really about, a decade ago, it was only the really big tech companies that were able to build a team and have enough data to be able to create machine learning products that are actually generating value in production."
23;Doris Xin;00:08:36.860;00:09:06.960;00:00:30.100;"What we're seeing now is that that barrier to entry is much lower. You're seeing an exponential number of companies who are able to start using machine learning data science to be able to impact their business metrics in a very meaningful way. With that, comes the challenges of... A lot of these teams are fairly small. You have a handful of data scientists. But as you and I know, productionising machine learning takes a whole village."
24;Doris Xin;00:09:07.320;00:09:40.310;00:00:32.990;"You really need a lot of infrastructure around engineering, around continuous development and continuous integration that allows your machine learning products to continuously deliver value in production in a healthy and safe way, really. This is where we're starting to see that the realm of MLOps really starting to have a lot of activities, especially around developer tools, because we are, in a way, democratising data science and machine learning, to a much wider audience."
25;Doris Xin;00:09:40.860;00:10:05.740;00:00:25.240;"Because of that, we are in dire need of standardisation of entire field, and that's where I believe MLOps came to be. We're starting to have common vernacular around how do we think about the different components that all go into a machine learning application and how do we think about the different tooling that all needs to be created and standardised and made available."
26;Doris Xin;00:10:06.010;00:10:27.410;00:00:21.400;"I think we're still fairly early in the MLOps journey here. Standardisation is still very much a big question mark. I think there's a lot of desire to move in that direction. In terms of our progress, I think we're still learning the exact set of steps, the exact set of tools that need to be built in order to support the end-to-end lifecycle."
27;Simba Khadder;00:10:27.410;00:10:50.580;00:00:23.170;"One thing you said that was really interesting, I totally agree with the premise of we're super early in MLOps. I think if you look at the number of tools and categories, people might feel like, ""There's so much. It's so noisy. It's saturated."" I actually have the exact opposite feeling. I think there's so much because there's such a big problem to be solved and no one knows exactly how it's going to look."
28;Simba Khadder;00:10:50.580;00:11:13.100;00:00:22.520;"In a lot of other spaces, we can look at people and be like, ""That's how it should be done."" Like with DevOps, you look at Google, they're doing amazing. That's like the gold standard. With ML and MLOps—at least in my experience, I've talked to lot of companies, and a lot of companies do things great—but I haven't met one company yet where I'm like, ""They've got it. This company has it nailed. End to end, this is how everyone should do machine learning."""
29;Simba Khadder;00:11:13.340;00:11:41.110;00:00:27.770;"I think there's just a lot of growth to be had still in the whole space. I think we're just at the point now where we're starting to give these concepts names, or feature stores as an example. I built them before, but we used to just call them data platforms. Machine learning data platform. The term feature store didn't really exist until recently. We're just getting to the point where we're naming everything, but we're still figuring out what the stack really looks like and what a real example, or I guess that real use case, looks like."
30;Simba Khadder;00:11:41.110;00:12:06.610;00:00:25.500;"One thing I want to zoom in on that you talked about is it takes a village, in your words. I totally agree. I think a lot of the problems to be solved is actually organisational scaling. Organisational problems tend to be the biggest headaches, at least that in ML teams. How do you think about that with what you're doing at Linea and just in general? How should a data science organisation using MLOps function? How do you scale machine learning across many teams?"
31;Doris Xin;00:12:07.090;00:12:27.760;00:00:21.150;"When we think about the teams, I think a couple of different personas come to mind. You have the data scientists who are mostly responsible for development, you have the data engineers or ML engineers who are responsible for taking the output of the data scientists and doing all the packaging, all the translation, and then productionisation afterwards."
32;Doris Xin;00:12:27.760;00:12:51.820;00:00:24.060;"I think this is going to change in the next few years for a couple of reasons. One is that not every team has access to data engineers and ML engineers. I've heard that it can take upwards of 18 months to be able to fill one of these headcounts. That means until you have that talent gap filled, a lot of your data science investment, it's simply investment, there is no return on that."
33;Doris Xin;00:12:52.190;00:13:18.580;00:00:26.390;"Even if you do have a team of data engineers, you still have an extremely high handoff overhead between the two personas. A lot of times, making sense of what happens in production requires a lot of data science domain knowledge. With development, sometimes you also need to keep an eye on productionisation concerns. Really, we're starting to see more and more of what I call the full stack data scientist."
34;Doris Xin;00:13:18.740;00:13:41.900;00:00:23.160;"You're starting to see one person scaling more horizontally across the entire lifecycle, and then the data engineers and the ML engineers, they become more infra people who can scale themselves much better by creating tools that are commonly shared across many data scientists rather than being pointwise solutions to support one or two data scientists in a very ad hoc fashion."
35;Simba Khadder;00:13:41.900;00:13:56.200;00:00:14.300;"Do you think that continues to happen, that unification? Do you think data scientists' ownership will continue to grow as the tooling gets better? Or do you think that the data scientist's role rather will fragment into maybe other specialisations?"
36;Doris Xin;00:13:56.200;00:14:19.300;00:00:23.100;"I see the trend of unification to be the trend of the future for a couple of reasons. The first one is that data scientists care about impact. I don't think they're happy to settle on, ""I did my development. This is the end of my job. I'm going to throw it over the wall. If it makes into production, great. If it doesn't, I've done my job."" I don't think data scientists operate in that way."
37;Simba Khadder;00:14:19.300;00:14:36.850;00:00:17.550;"Therefore, it means that we're going to see data scientists wanting to take on more of the lifecycle, wanting to unblock themselves and wanting to have more visibility into impact, into production. This is, I think, going to be a key driving force towards having more full stack data scientists."
