Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:03.320;00:00:24.380;00:00:21.060;"Hey, everyone, my name is Simba Khadder, and you're listening to the MLOps Weekly Podcast. Today, I'm really excited to be speaking with Jacopo Tagliabue. He's most popular in MLOps community for his GitHub repository, You Don't Need a Bigger Boat, and a lot of his content about ML at reasonable scale."
1;Simba Khadder;00:00:24.380;00:00:46.390;00:00:22.010;"Most of his career was as a data scientist across a variety of different organisations before he started his company Tooso, which was Search-as-a-Service. He acted as CTO and took it all the way to acquisition by Coveo, where he was most recently the Director of AI. As of now, sounds like he's onto his next thing, which I'm sure he'll be sharing more about soon. Jacopo, so great to have you on the show today."
2;Jacopo Tagliabue;00:00:46.390;00:00:49.550;00:00:03.160;"Thanks so much for having me, and thanks for everybody to join us."
3;Simba Khadder;00:00:49.550;00:00:55.070;00:00:05.520;"I'd love to get it from your perspective and your words. What got you into ML, what was your journey like to get here?"
4;Jacopo Tagliabue;00:00:55.310;00:01:11.250;00:00:16.180;"The journey to modern MLOps was basically the realization of sucking in the entire tool chain by myself in the old MLOps world, when there was not even MLOps as a word. If you remember my story, I used to be the CTO and Founder of a startup in Silicon Valley."
5;Jacopo Tagliabue;00:01:11.250;00:01:28.440;00:00:17.190;"It was doing NLP for e-commerce, which is an interesting case for ML. It's high value, both in terms of business and financial outcome. But it's also high volume, and it's something that is very crucial for an e-commerce shop. You can't really run an e-commerce shop without recommendation or without intelligent search."
6;Jacopo Tagliabue;00:01:28.440;00:01:47.700;00:00:19.260;"Things need to be up all the time and the model needs to produce the outcome that you expect the model to do. All the problems that you now see today in monitoring or reproducibility and so on and so forth, but of course, part of what we had to tackle in 2017, when we had to build our entire infrastructure without any of the tool that is now today."
7;Jacopo Tagliabue;00:01:47.700;00:01:58.940;00:00:11.240;"That's why I'm saying I almost suck at any point in time, in any of the part that comprises a modern data and ML pipeline. The digestion, transformation, training, survey, monitoring."
8;Jacopo Tagliabue;00:01:58.940;00:02:18.390;00:00:19.450;"Last year, I think, last year or something like that, I went back to all the choices that we made building Tooso, during my tenure at Coveo, and we asked, ""What if we build something like that now with all these tools? What will we keep?"" And guess what, it's nothing. We're to build basically completely different toolchain, a completely different set of tools and capabilities."
9;Jacopo Tagliabue;00:02:18.390;00:02:40.580;00:00:22.190;"Then we open source that in the famous You Don't Need a Bigger Boat repo for everybody to use it, which is the idea of this blueprint of an ideal AI company that basically produce backend for models. And the realization that what took people and months five years ago, now it can take literally one person and days to achieve the same level of capabilities."
10;Jacopo Tagliabue;00:02:40.580;00:02:46.580;00:00:06.000;"So I can't be more thrilled to live in this time and age when I don't have to suck anymore, and all of the things that I used to suck at before."
11;Simba Khadder;00:02:46.770;00:02:58.690;00:00:11.920;"It's so funny to look at... I actually have a very similar story to you. I actually built Featureform, and my last company, we were also doing 10 recommendations as a service more and we were handling like 100 million MOU."
12;Simba Khadder;00:02:58.690;00:03:19.150;00:00:20.460;"We had something called our data platform, that we built, but nowadays it's a feature store. And MLOps wasn't MLOps. We didn't really have a word for it, it was just like our workflow I guess. We built everything. There was nothing out there. There wasn't really even examples, like a list of DevOps. You could look at Google and be like, ""Oh, well, that's the gold standard."" I never really felt that we had that."
13;Simba Khadder;00:03:19.350;00:03:32.950;00:00:13.600;"That repo you mentioned, You Don't Need a Bigger Boat, obviously, if you haven't seen it, if you're listening and you haven't seen it, you should go see it, it's awesome. For those who haven't seen it, could you dive into it? What does that stack look like. What did you figure out looking back and doing that analysis?"
14;Jacopo Tagliabue;00:03:33.150;00:03:45.630;00:00:12.480;"Sure. I think there's a bunch of things that... If you're trying to do an MLOps stack nowadays, there is a bunch of things that are somehow fundamental. As in, without those things you can't even say that you have an ML pipeline."
15;Jacopo Tagliabue;00:03:46.590;00:03:57.810;00:00:11.220;"The first thing for us, I think for everybody is data, because data is in the end of the day most important part and where the biggest margin of value is. How you store data, how you query data, you normalize data, that's a very important part."
16;Jacopo Tagliabue;00:03:57.810;00:04:09.840;00:00:12.030;"The second part is training. Of course, you know, once you have data, you have to train a model to do whatever you're doing. If you're not training, you're not doing ML. That doesn't mean there's no value, but you're just doing maybe deterministic stuff for rule base and so on. With a different set of problems."
17;Jacopo Tagliabue;00:04:09.840;00:04:22.590;00:00:12.750;"Then finally, serving. It may mean different thing to different people, depending if you're doing offline influence, online influence on. But at the end of the day, if you train a model, the model stays on your laptop or even on your cloud, it doesn't make any impact on reality."
18;Jacopo Tagliabue;00:04:22.710;00:04:35.620;00:00:13.030;"There must be a way after training, for your model to make prediction, again in different ways. So you have to figure out at least three basic minimal pieces to call yourself an ML engineer. You have to say that you have a pipeline in at least after the pieces."
19;Jacopo Tagliabue;00:04:35.780;00:04:53.440;00:00:17.820;"So for us, going back to our previous experience, we replaced the entire EMR Spark S3 querying base that were with Tooso, with Snowflake. Snowflake wiped out the entire infrastructure and clunky things that we had to maintain in this part time."
20;Jacopo Tagliabue;00:04:53.560;00:05:05.600;00:00:12.160;"Snowflake just gives you this nice thing when you just store all the data you want, you run a SQL query. You don't really need to know how that is distributed, that is executed. You just get the result back and it's awesome. That was point number one."
21;Jacopo Tagliabue;00:05:05.600;00:05:27.590;00:00:21.990;"Point number two for training for us was moving from clunky script-based approach to Metaflow. Metaflow is our open source tool. Everybody can use it, it's completely free of charge. It was open-source by Netflix and it's now maintained by a company called Outerbounds. And for us, it was a way to enforce good practices in how you structure your training code to replace undeveloped experience."
22;Jacopo Tagliabue;00:05:27.930;00:05:42.730;00:00:15.040;"Metaflow by being so pleasant to use invite you to do the right thing and discourage you from doing the wrong thing. Automatically makes your team works a bit better. Now you train, you experiment and now you run all this fast iteration. That's point number two."
23;Jacopo Tagliabue;00:05:42.970;00:05:59.660;00:00:16.810;"Point number three, which is the one that I feel for us, there's still more work to do on the serving side, that really depends on the use case. Some other use cases are relatively simple in the sense that you can do batch prediction. So you don't really need to have the model that you train live in some sense."
24;Jacopo Tagliabue;00:05:59.660;00:06:14.770;00:00:15.110;"You can just run prediction against the model while you're still in the batch mode, and then you can store them in DynamoDB and serve them through the cache in real time. It's very easy, but it's very powerful because now thanks to DynamoDB, Serverless and so on, you can do that without maintenance, so that's awesome."
25;Jacopo Tagliabue;00:06:14.770;00:06:37.260;00:00:22.490;"Then some other models are actually online models, meaning that there's a prediction that is made at runtime. And for that, there's a bunch of solution up there that we explore from the easiest one, say on the SageMaker side to the more complex one now we're working with a company called Exafunction to do more complex stuff, and with other things in between, like try it on [inaudible 00:06:34] and so on and so forth. So that would be the third pieces."
26;Jacopo Tagliabue;00:06:37.260;00:07:06.560;00:00:29.300;"Once you figure out all the three pieces go together, now you can add all the sorts of fancy stuff that you want. And if you go to the big [inaudible 00:06:43] repo, you're going to see different options for orchestrating this. You're going to see different option for experiment tracking. You're going to see monitoring solution and so on and so forth. But all of that comes into place once you have the first end-to-end version from raw data to prediction, figure it out. Because if you try to do more complex thing until you figure out the first end-to-end thing, you just going to make your life more complex without a necessary pickup side."
27;Simba Khadder;00:07:06.760;00:07:48.370;00:00:41.810;"I want to jump into the explosion of MLOps tooling. One thing you've said, which I totally agree with is, the goal, especially if you're a startup, is simplicity. You don't want all these moving pieces because it's your job to maintain them. So you want to go things that are hard to use wrong, like, we just work. Last thing you mentioned that Snowflake wouldn't really call them MLOps companies. Now there's been an explosion, all the MLOPs tooling. Well, my first question about it is, it happened about three years ago. It's at least this new wave of MLOps startups came to be. You had that problem years before that, and so we had to do our own stuff. What do you think happened? Why did it start three years ago?"
28;Jacopo Tagliabue;00:07:48.570;00:08:13.690;00:00:25.320;"There's a bunch of things. First, I think the basal practitioners, they used to run ML, they become much broader and went out from the few companies that already know what they're doing. I have friends at fancy companies like Facebook, Google and so on and so forth, and nobody ever complained that they cannot put a model in production. None of my friend ever said any of these sentence. There's a lot of other problems but not this one."
