Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:06.140;00:00:32.030;00:00:25.890;"Hey, everyone. Simba Khadder here with the MLOps Weekly Podcast. Today I have the pleasure of speaking with Josh Wills. Josh is an investor and advisor who specializes in data and machine learning infrastructure. He was formerly Head of Data Engineering at Slack, the Director of Data Science at Cloudera, and a software engineer at Google. He also is famous for his hot takes on Twitter. Josh, great to have you here today."
1;Josh Wills;00:00:32.030;00:00:33.290;00:00:01.260;"Simba, thank you so much for having me."
2;Simba Khadder;00:00:34.080;00:00:50.620;00:00:16.540;"I just gave a quick introduction on you, but I would love to start by... You've worked across Google, you've worked at Slack, you've worked at Cloudera, you've done a lot of stuff in your career. I would love to learn about maybe some of the hardest data problems you faced or had to solve of your career."
3;Josh Wills;00:00:50.620;00:00:53.790;00:00:03.170;"Oh, man. Hardest data problems I've had to solve. That's a-"
4;Simba Khadder;00:00:54.180;00:00:57.980;00:00:03.800;"Or some interesting one you think that people would enjoy."
5;Josh Wills;00:00:58.080;00:01:28.280;00:00:30.200;"That's a tough one. I don't know. I've talked about a few of them before. I think the hardest data engineering challenge I ever had was rebuilding Slack's search indexing pipeline, which I talked about a little bit here and there before and stuff. I feel like as I reflect back on my career, that was still the Mount Everest problem for me. Or it's something even harder, maybe K2, an even technically more difficult mountain climb is a better analogy."
6;Josh Wills;00:01:28.800;00:02:06.720;00:00:37.920;"Just because of the scale of the problem, hundreds and hundreds of terabytes, it's got to be up on the order of petabytes of data to index right now. When you're dealing with data sets that large, you encounter literally every single thing that can possibly go wrong. And it's stuff that is things that are one in a trillion things happen to you because you're processing a trillion records. Every single thing that can go wrong goes wrong. I guess in terms of the technical challenge, in terms of the impact, in terms of improving the performance of Slack search and stuff like that, it's still, I think, the most meaningful problem to me. But I think that's from a technical challenge perspective."
7;Josh Wills;00:02:07.300;00:02:16.570;00:00:09.270;"From a people challenge perspective, which I think is... If you talk to most people who've done this stuff for a while, they would say the people problems are far more persistent and far more difficult and stuff like that."
8;Josh Wills;00:02:17.110;00:02:59.450;00:00:42.340;"The thing I'm proudest of is introducing at Slack, very early on in my tenure there, so right when I joined back in October of 2015, the very first thing I did was introducing the notion of I think what people call now a data contract that tied our production, web application systems and the data that they generated to send to our data warehouse and using thrift schemas and locking that stuff down really early. It's one of those things that it prevents so many problems down the line and so many challenges. Getting that done is maybe something that organizationally speaking, I'm proudest off, I think. Yeah, I don't know. What else would you like to talk about?"
9;Simba Khadder;00:02:59.610;00:03:08.960;00:00:09.350;"It's so much more. I have a billion questions about the search index. But I actually want to jump into data contracts because it's been a hot topic as of late."
10;Josh Wills;00:03:09.110;00:03:09.670;00:00:00.560;"Absolutely."
11;Simba Khadder;00:03:09.880;00:03:12.720;00:00:02.840;"Well, first, how would you define a data contract?"
12;Josh Wills;00:03:13.170;00:03:44.210;00:00:31.040;"It's a great question. My own personal definition, which is a little different than everybody else's, is a data contract is an integration test. It's an integration test. I call it an integration... Integration test, I find it to be the best analogy for it because an integration test is something that's obviously well understood in software systems, and we've been doing for a very long time. I have multiple production components. I test each of them individually, obviously, but I need to make sure that they work together before I push changes to production or continuous integration, that's what continuous integration is."
13;Josh Wills;00:03:45.210;00:04:17.130;00:00:32.280;"For me, that's really what data contracts are. Data contracts are a signal, first and foremost, that your data warehouse and your data pipelines are production infrastructure, which is not true a lot of places, and that's fine. There's a lot of places where I just need to do some basic reporting, and if the reports go down for a day, it's not the end of the world. Then on the other hand, you have everyone else in the world who's doing hardcore machine learning stuff, where if the data pipelines go down, then production goes down with it, or starts degrading in really these nasty ways."
14;Josh Wills;00:04:18.110;00:04:32.910;00:00:15.110;"If you're in that state, if you're in a situation where your data warehouse, your data pipelines are production with a capital P, therefore, you must have integration tests between your upstream production systems and your downstream production systems, just as you would for any other set of components."
15;Josh Wills;00:04:33.870;00:05:00.840;00:00:26.970;"The trick, I think, why we need the term data contracts or why this is hard is that it's been incredibly difficult to really do proper integration testing between the world of production and the world of data. At Slack, we had a web application that was initially in PHP and over time migrated to Hack, which is Facebook's improved PHP implementation."
16;Josh Wills;00:05:01.770;00:05:31.000;00:00:29.230;"Then we had a downstream data warehousing system, which was a fairly classic Netflix-style data lake, Parquet files and S3, lots of Spark, lots of Hive, lots of Presto. These are two completely different, absolutely gigantic engineering systems. Moving data between these two systems involves a Kafka broker that's going to process 250,000 events per second. It's got all this massive data processing infrastructure around it."
17;Josh Wills;00:05:31.470;00:05:50.850;00:00:19.380;"And so how do you come up with a way to do a relatively fast, relatively lightweight set of tests and verification checks between these two systems so you can ensure that when you make a change upstream, you're not breaking stuff downstream? That's the trick, and I think that's the area where a lot of people are still searching."
18;Josh Wills;00:05:50.850;00:06:19.400;00:00:28.550;"When I see people doing data contract stuff, even now in 2023, they're still pretty much inventing their own way of doing it. They're inventing their own interface definition language. They're inventing their own set of tests and stuff like that. That's just where we are. We haven't settled on a standard for this yet, or we simply have not made this easy in any way, shape, or form for people to do without a huge amount of engineering effort, and that sucks. It's basically like, ""This is not a good place to be anyway."""
19;Simba Khadder;00:06:20.150;00:06:21.900;00:00:01.750;"So we've had great expectations for a while."
20;Josh Wills;00:06:22.330;00:06:23.810;00:00:01.480;"We had great expectations. Absolutely, that's right."
21;Simba Khadder;00:06:23.910;00:06:27.840;00:00:03.930;"And we've had even in Kafka, we've had schemas in Kafka for a while."
22;Josh Wills;00:06:27.840;00:06:27.970;00:00:00.130;"Yes."
23;Simba Khadder;00:06:28.030;00:06:43.590;00:00:15.560;"What you're describing seems like it's simultaneous to both of those and more. I just would love to understand. If someone's like, ""Hey, I have a Kafka schema and I have great expectations,"" is that a data contract? Is it not? What's missing from those two?"
