Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:06.320;00:00:28.130;00:00:21.810;"Hey, it's Simba Khadder here with the MLOps Weekly Podcast. Today, I'm speaking with Liran Hason, the CEO and Co-Founder of Aporia. He's a veteran of the IDF's Elite 81 Intelligence Unit. He was one of the first employees of Adallom, which was acquired by Microsoft, and he led the ML production architecture that served millions of users."
1;Simba Khadder;00:00:28.400;00:00:42.970;00:00:14.570;"Before starting Aporia, he was part of Vertex Ventures' investment team and was involved in over 30 investments, including Axonius, Spot.io, and others. Hey, Liran, thanks for joining me today."
2;Liran Hason;00:00:42.970;00:00:45.180;00:00:02.210;"Hey, Simba. Thanks for having me."
3;Simba Khadder;00:00:46.780;00:00:52.080;00:00:06.700;"I'd give a little intro on you, but I'd love to get a run bit about how you got to where you are today of running a Aporia."
4;Liran Hason;00:00:52.460;00:01:22.480;00:00:30.020;"Sure. I spent over 20 years in software engineering across different roles. In one of the last companies that I worked at, I was leading, and I was responsible for the architecture for ML infrastructure, really everything from training, packaging, deployment, serving, and monitoring as well. We were running models at scale, and we got to a point where we had to have some monitoring solution."
5;Liran Hason;00:01:22.890;00:01:49.100;00:00:26.210;"Really, what we did is just implemented some Python scripts running on a Cron Job. Nothing very fancy, to be honest, but it was good. I just realised that there has to be one centralised solution to track your models, to have dashboards, to get proactive alerts, so you shouldn't really implement this Python script which we're scraping. That's how Aporia came to life."
6;Simba Khadder;00:01:49.400;00:02:01.640;00:00:12.240;"It's something you've built before and now you're taking to market as a vendor. I guess maybe for some timeline, when did you start Aporia? When did you build the original monitoring solution internally and when did Aporia begin?"
7;Liran Hason;00:02:02.140;00:02:33.140;00:00:31.000;"This monitoring solution we built it in channel world was a long time ago. It was 2015. But it was at a startup company that was later acquired by Microsoft. Then, to be honest, I moved to the evil side of the VC, investing in some companies, spent about three years in there. Then I just realised that more and more data science and ML teams are facing these issues. I realised that it might be a good timing to make this product and to make it live."
8;Liran Hason;00:02:33.420;00:02:46.780;00:00:13.360;"This was 2018. That's where I left my role at the VC to start working at Aporia. By 2019, that's where we raised our first funding round."
9;Simba Khadder;00:02:47.220;00:03:06.420;00:00:19.200;"Glad to have you back from the dark side. I guess since starting in 2019, I guess over the last, especially a couple of years, I'd love to understand how you see ML changing, how people do ML, who's doing ML. Let's start there. I really want to understand how things are changing over the last couple of years and also where things are going."
10;Liran Hason;00:03:06.880;00:03:42.460;00:00:35.580;"Sure. Looking back for three years ago, I think few people used to use the term MLOps. But in the last three years, I think we clearly see more and more companies building their MLOps practise. I think that a lot of companies have invested so much time and effort in collecting data and also building data science teams, but they have yet to realise the full value of their models. In the last few years, they realised that the core missing part is really having the proper infrastructure for that."
11;Liran Hason;00:03:43.530;00:04:05.310;00:00:22.650;"That's when they started hiring ML engineers and building their ML platform teams to create this centralised infrastructure. This is one thing we see. I believe one more interesting trend in the market that I see is as the market, the ML's market is maturing, we see more categories being formed."
12;Liran Hason;00:04:06.160;00:04:28.750;00:00:22.550;"If beforehand you could find some tools trying to do all sorts of things in one platform, now you can see some specialised tools like Feature Stores, ML Observability platforms, like experiments tracking. I think it's a great sign for the market because by the end of the day, similar to the software engineering space, every company has different needs."
13;Liran Hason;00:04:29.050;00:04:48.460;00:00:19.540;"When it comes to building and deciding on your tech stack, whether it's machine learning or not, you have to be able to choose what's best for your needs. In that case, having the ability to choose the best Feature Store, the best Observability platform, this really allows organisations to build a great ML platform in turn."
14;Simba Khadder;00:04:48.940;00:05:19.130;00:00:30.190;"Do you think that trend of unbundling... Because if you zoom back, the companies in the way before us, companies like DataRobot, Domino, et cetera, they all started really building the end-to-end MLOps platform. Like you said, over this last generation of company that made both Aporia and Featureforganizationsbest-in-classorm fit into, there has been this trend towards unbundling, best in class components that you fit together based on your needs."
15;Simba Khadder;00:05:19.280;00:05:30.290;00:00:10.760;"Do you think that will continue? Do you think there'll be more unbundling? Do you think, especially now if the market is looking a little shakier, there'll be more consolidation? How do you see things changing over the future?"
16;Liran Hason;00:05:29.790;00:05:50.150;00:00:19.860;"Oh, definitely. I think we can just take a look on the development or software engineering space. You wouldn't find that term of Dev platform. Maybe GitLab is trying to become one, and GitHub, but they didn't start there. I definitely see the same thing in our world of the MLOps."
17;Liran Hason;00:05:50.600;00:06:23.260;00:00:32.660;"Obviously, there's a room for a company like DataRobot and Domino and others, but I think what we start to see is that there is segregation into what companies and what teams and stakeholders are using and buying platforms solutions versus best of breed. I think when you look on specialised data science teams that really take the data, build their own models with their bare hands, and they understand exactly what they're doing, yes, they have to have specialised tools."
18;Liran Hason;00:06:23.260;00:06:32.840;00:00:09.580;"I definitely see this trend of best of breed tooling getting and growing over time. I do expect to see, by the way, more categories than we have today."
19;Simba Khadder;00:06:33.620;00:07:02.750;00:00:29.130;"I think that's true. I love to use the DevOps market as an analogy to the MLOps market. I think my sense of why this is happening... Because if you look at early days of DevOps, there were more attempts. You could argue app engine, Parse.com, all those sorts of companies were really trying to build the all-in-one DevOps platform. Most of those have pivoted away or don't exist anymore."
20;Simba Khadder;00:07:02.820;00:07:26.960;00:00:24.140;"I think a lot of what I've seen, especially in ML, is everyone has such different pain points. If you're doing your vision and you're a large enterprise or you're fraud detection at a startup, problems you face are different. The MLOps vendors you need, or let's say, Observability versus Feature Store, based on what you're doing, you might eventually need both."
21;Simba Khadder;00:07:26.960;00:07:52.370;00:00:25.410;"But in the early days, maybe you hit problems where Observability is required first. It's like, ""Hey, we can get away with our hacky thing for the Feature Store, but we need Observability now,"" or vice versa, where it's like, ""Hey, the data processing, our data pipelines are all screwed up. We need the Feature Store Observability based on what we're doing. We can get away with something ad hoc for another six months or whatever."""
22;Simba Khadder;00:07:53.060;00:07:59.320;00:00:06.260;"Do you buy that? Is that how you see it? Is it just based on the complexity of use cases or do you think there's more to it than that?"
23;Liran Hason;00:07:59.680;00:08:28.720;00:00:29.040;"I agree with you. By the end of the day, it's a lot about the different use cases. Yes. If I'm developing recommender system as part of an ecommerce website, I need to deal with real-time, large scale of data. That's one thing. If on the other hand, I'm developing offline models running in batch, let's say, one every six months, well, I need whole different infrastructure for that. I think priorities will change accordingly. As you said, is it Feature Store beforehand or Observability?"
24;Liran Hason;00:08:29.720;00:08:49.540;00:00:19.820;"But also, when you think about it, there is so much depth in each of these areas. In Feature Store, there is time travel. There is how do you do collaboration, how do you do security and access, how do you serve the same features for training? There's so many aspects just in Feature Store."
25;Liran Hason;00:08:49.860;00:09:16.690;00:00:26.830;"The same thing happens with Observability. How do I create dashboarding? How do I create effective monitoring system and alerting? How do I actually allow users to learn and gain insights from production data and how to improve their models? It's a whole world, and there is so much depth to it. I don't believe there could be one platform that could do everything greatly."
26;Liran Hason;00:09:16.740;00:09:20.690;00:00:03.950;"That's the way I think about it."
27;Simba Khadder;00:09:20.690;00:09:47.410;00:00:26.720;"One thing I'd love to zoom in on, a question I've been asked before on the Observability side, and I'm sure you're going to have a better answer than me because it's what you think about all the time. People ask me about, ""Hey, I use, let's say, Prometheus and Grafana for my DevOps monitoring and Observability or whatever. I have this DevOps tooling."" They're trying to understand why models are so different versus a lot of obvious things."
28;Simba Khadder;00:09:47.410;00:09:57.880;00:00:10.470;"But I'd love to hear your words. Why does this category need to exist? Why does it differentiate so much from traditional monitoring that it requires a specialised tool?"
29;Liran Hason;00:09:58.380;00:10:19.260;00:00:20.880;"It's a great question. First and foremost, as an engineer, I tend not to reinvent the wheel if there is no need to do that. I can share with you, Simba, that even at Aporia, we were thinking about, maybe we can use Grafana internally. Let's not spend waste time on things that were already implemented very, very well."
30;Liran Hason;00:10:19.860;00:10:34.700;00:00:14.840;"Why is it so different monitoring models versus monitoring traditional application workloads? When you think about Grafana, essentially what is this monitoring with Prometheus is metrics. It could be CPU, memory, and so on and so forth."
31;Liran Hason;00:10:35.100;00:10:50.650;00:00:15.550;"With machine learning, when you want to monitor your model, what you essentially want to do is, one, you want to track performance. But usually, it takes a lot of time until we get ground truth in production. It could be in a few weeks, it could be a few months."
32;Liran Hason;00:10:52.720;00:11:31.160;00:00:38.440;"In the meantime, until you get this data like the ground truth and the labels, you need to have some proxy metrics. What you do is you calculate data drift and other proxy metrics. Now, just the logic of calculating these metrics, even calculating accurate, let's say, you do have ground truth and you want to track accuracy or F1 score on your production data, you need to set up some ETL that will take this data, take the ground truth that is being received with delay, calculating accuracy historically, putting it in one place and then sending it to Grafana."
33;Liran Hason;00:11:31.860;00:11:58.230;00:00:26.490;"It's not as easy as you might think, especially when dealing with large scale of data. This is just only one aspect of it. Once you've done that, and in reality, there are plenty of more edge cases that I'm not getting into right now, what you'll find is you just end up with some pretty dashboard in Grafana, but it just looks and analyses the data on a very high level."
34;Liran Hason;00:11:58.240;00:12:20.170;00:00:21.930;"In reality, a lot of times the issues surface more on specific segments of your data. This is something you can't really do with Grafana. How my model is performing for people at the state of California versus people at New York, for example. All these things become much, much more complex."
35;Liran Hason;00:12:20.740;00:12:45.360;00:00:24.620;"One more point here is, so we're not tracking metrics anymore, we're not tracking logs, we are tracking data. We are tracking the inputs, the feature of vector getting into the model, as well as their predictions. I hope it makes more sense why is it different. You can use Grafana, but we're very limited as compared to other dedicated Observability tools for machine learning."
36;Simba Khadder;00:12:46.280;00:13:06.360;00:00:20.080;"Yeah, it makes sense. The way I think about it is you're trying to understand why the model is doing what it's doing and understand and observe when it's doing something strange. It's a lot more nuanced than, let's say, a server where it's like, ""Hey, it's not responding to request. It's not working."""
37;Simba Khadder;00:13:06.730;00:13:31.600;00:00:24.870;"I think it's also the complexity of what correct is changes of an application. It's pretty obvious when it's correct. You can go with the code. If it's not doing stuff correctly, there's probably a bug. What does a bug even mean in a model is a whole different question where I think Observability becomes a core part as you move closer and closer to true understanding of what the models are doing."
38;Simba Khadder;00:13:31.630;00:13:45.290;00:00:13.660;"I want to zoom out a little bit. You mentioned a bit about the creation of MLOps as a category. I have a similar story where I built a whole MLOps platform for my last company. It wasn't called MLOps. I don't even know what we called it."
39;Simba Khadder;00:13:45.290;00:13:57.190;00:00:11.900;"People ask me. It just was like... Oh yeah, our data platform, which is now a Feature Store and Observability. I think we just called it that, Observability. It wasn't a model. Observability was just Observability, but for the models."
40;Simba Khadder;00:13:58.000;00:14:09.200;00:00:11.200;"Part of that is like you said, there's an explosion of data scientists. People understood and saw the promise of ML. They hired a ton of data scientists. They were building models. They'd never put anything in their model in production before."
41;Simba Khadder;00:14:09.200;00:14:24.940;00:00:15.740;"The company and organisations themselves hadn't really done that before. This grew into the explosion of MLOps of like, ""Cool, we know how to build models. How do we actually build a system around models, operationalised, literally MLOps models?"""
42;Simba Khadder;00:14:25.000;00:14:39.450;00:00:14.450;"I guess one thing we've talked a little bit about before, and I've seen you've talked about is this idea of an ML product and getting to that next level of, ""Cool, now we can get models in production."" Well, there's almost all these questions of, ""Well, why, and what models do we put in production?"""
43;Simba Khadder;00:14:39.450;00:14:46.590;00:00:07.140;"I'd love to first get your definition of how to think in terms of an ML product, what that means. Yeah, let's start there."
44;Liran Hason;00:14:46.600;00:15:00.070;00:00:13.470;"You mentioned before that companies are now really focusing on operationalising their models. I'll use another word that is similar but yet different, which is how do we productionise these models?"
