Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:06.100;00:00:42.410;00:00:36.310;"Hey, everyone. Simba Khadder here of the MLOps weekly podcast, and today I'm speaking with Piero Molino. Piero is the CEO and co-founder of Predibase, a company that's redefining machine learning tooling with a declarative approach. He previously worked as a research scientist, exploring ML and NLP at Yahoo, IBM Watson, Geometric Intelligence, Uber, where he was actually a founding member of the Uber AI organization, and Stanford. He's the author of Ludwig, a Linux Foundation-backed open-source declarative deep learning framework with more than 8,500 stars. Piero, great to have you here today."
1;Piero Molino;00:00:43.240;00:00:46.980;00:00:03.740;"Thank you very much for having me, Simba. I really appreciate the time and the opportunity."
2;Simba Khadder;00:00:48.540;00:00:57.230;00:00:08.690;"I'd love to just jump in. I give a quick intro on you, but I'd love to hear in your own words. Tell me a bit about your journey to get to Predibase and building with Wix."
3;Piero Molino;00:00:57.760;00:01:22.620;00:00:24.860;"I will try to keep it short because it's actually pretty long, but I don't want to bore people with my own story. But I started by working on open domain question-answering. That was my research when I was doing the PhD. Then I worked at a bunch of companies, large ones like Yahoo and IBM Watson, where I was actually doing... Exactly what I was doing my research on was also the same thing that I was doing at IBM Watson."
4;Piero Molino;00:01:23.090;00:01:55.540;00:00:32.450;"But then I felt the urge to work at a smaller company and to work shoulder-to-shoulder with people where my decisions were really impactful for the company. I joined a startup that was called Geometric Intelligence, founded by a bunch of really nice people like Gary Marcus, Zoubin Gharamani, Ken Stanley, Jeff Clune and Noah Goodman. Because they're really well known in the machine learning space and they have a lot of experience, I wanted to work with them to learn a lot. That was my main intent when I started working in the company."
5;Piero Molino;00:01:56.060;00:02:18.610;00:00:22.550;"The company was acquired by Uber and so that's where I actually started working on Ludwig, which is the open-source foundation behind Predibase. The reason why I was working on that is that when I was at Uber, I was doing both research and application, so many different domains and many different actual machine learning tasks and products that Uber was adding machine learning capabilities to."
6;Piero Molino;00:02:19.350;00:02:33.320;00:00:13.970;"One of it was dialogue system for Uber drivers. Another one was a customer support model called Kota. Another one was the recommender system of Uber Eats, where I added a few additional capabilities. Another one was a fraud prediction model."
7;Piero Molino;00:02:34.060;00:02:51.860;00:00:17.800;"By working on all these different projects, I saw that there were a lot of things in common among these projects. I could build something like a tool for myself for making it much easier to work on the next project without reinventing the wheel from scratch."
8;Piero Molino;00:02:53.190;00:03:18.950;00:00:25.760;"That was the motivation for building Ludwig, which basically is a tool that creates an abstraction over the building actually of the machine learning pipeline by just requiring configuration file from the user, similar to what Terraform does for infrastructure. It's a declarative configuration where you can say, ""These are my inputs, these are my outputs, and these are the models that I want to use in the training parameters,"" for instance, and it builds the model for you."
9;Piero Molino;00:03:19.460;00:03:59.360;00:00:39.900;"This abstraction is at the core of what I'm building now at Predibase because this declarative abstraction is what we use for making it possible to more users actually to build machine learning models. We're building a bunch of capabilities around it, including capabilities of connecting with data, capabilities of managing the iteration of our models, capabilities of deployment, and capabilities of running these things at a large scale without having to care about the infrastructure to make this technology more accessible to organizations and more people within organizations, both engineers and scientists."
10;Piero Molino;00:04:00.210;00:04:34.660;00:00:34.450;"Also, I love that you mentioned Terraform. Actually, our name Featureforms comes from Terraform. I definitely think that the declarative approach to have a model is the right one. A lot of people, I imagine, associate with AutoML. It's because I think there was maybe in a previous iteration, I think it had more to do with it. It's obviously evolved and improved over time. I'd love to, if you could touch on that, is Ludwig an AutoML product? Is it not? When did that change happen? Did that change happen? I'd love to learn more."
11;Piero Molino;00:04:34.660;00:05:03.240;00:00:28.580;"Yeah. Actually, it's very interesting that at the beginning, I was not the one who used the term AutoML to describe it, but actually, when people picked on it, there were some videos on YouTube and some articles written by other people who defined it as an AutoML tool, but I was not the one starting it, I guess. The reason is that I think there's a substantial difference in the very basic approach behind it, although we added AutoML capabilities to Ludwig."
