Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:03.000;00:00:24.080;00:00:21.080;"Hey everyone, I'm Simba Khadder, and you're listening to the MLOps weekly podcast. This week, I'm so excited to be speaking with Sam Ramji. He is the Chief Strategy Officer at DataStax, DataStax being the leading provider for commercial solutions of Apache Cassandra. He's a 25-year veteran of the Silicon Valley and Seattle tech scenes."
1;Simba Khadder;00:00:24.080;00:00:51.550;00:00:27.470;"He led Kubernetes and DevOps, and product management for Google Cloud. He founded the Cloud Foundry Foundation, and he helped build two multibillion-dollar markets: API management at Apigee, and an enterprise service bus at BEA Systems. He redefined Microsoft's open-source strategy from extinguish to embrace. He's an advisor to multiple companies, including Dell, Accenture, Observable, Fletch, Orbit, OSS Capital, the Linux Foundation, and ourselves here at Featureform."
2;Simba Khadder;00:00:51.710;00:01:09.820;00:00:18.110;"He received his BS in Cognitive Science from UC San Diego and is still excited about AI and neuroscience and cognitive psychology. He's at the intersection of AI databases and more at his current role at DataStax, and I'm really excited to be able to speak to him today. Sam, it's so good to have you on the podcast today."
3;Sam Ramji;00:01:09.820;00:01:11.260;00:00:01.440;"Simba, it's great to see you, man."
4;Simba Khadder;00:01:11.260;00:01:20.430;00:00:09.170;"I would love to start... I gave a quick overview of what you've done, but in your own words, what brought you to DataStax? What made you want to work on this problem?"
5;Sam Ramji;00:01:20.670;00:01:34.220;00:00:13.790;"There's a couple of key things, and it was my experiences at Google and then at Autodesk. At Google, I was recruited to be Vice President of Product Management for GCP because of the expansion of Kubernetes."
6;Sam Ramji;00:01:34.220;00:01:48.180;00:00:13.960;"They obviously needed a product management executive to look after a bunch of the businesses. But those businesses were basically doing fine, like the Compute Engine business; it was virtual machines. There was an amazing business in Firebase that had been acquired, and it was growing gangbusters."
7;Sam Ramji;00:01:48.180;00:02:08.949;00:00:20.769;"But the exciting challenge was Kubernetes, and that got me into DevOps and DevOps infrastructure, which was awesome. I got to learn how my partner-in-crime, my engineering partner, Melody Meckfessel, who'd been at Google for about 14 years, had built a DevOps infrastructure that kept 44,000 engineers at Google super productive."
8;Sam Ramji;00:02:08.949;00:02:28.660;00:00:21.140;"But as we tried to figure out, ""How do we take this to the world?"", we were like, ""We're going to have to do this through Kubernetes."" So Kubernetes is the first big factor. Kubernetes, of course, is designed for stateless workloads. It's all about moving containers, immutable infrastructure, moving those things back and forth into and out of production, and being able to scale up all these Docker-based workloads."
9;Sam Ramji;00:02:30.090;00:02:41.690;00:00:11.600;"Then I went to Autodesk, where they needed a cloud platform for the world's largest engineering software company, because it was no longer good enough to have desktop software doing all of your industrial automation."
10;Sam Ramji;00:02:41.690;00:02:56.610;00:00:14.920;"You needed to connect each desktop software user to another; you needed to be able to ask bigger questions about, ""Hey, is my motorcycle project on time?"", knowing that you've got a dozen mechanical engineers working on it. How do you get that to tell you truth? That's all about the data infrastructure."
11;Sam Ramji;00:02:56.610;00:03:21.990;00:00:25.380;"We brought Kubernetes to Autodesk, and that was awesome. Autodesk had already built out this big infrastructure for data built on Apache Cassandra. So I had already seen Apache Cassandra many years before the security infrastructure for tokenization, token management at scale for Apigee, which I had the privilege of being Chief Strategy Officer. We took it public in 2015. So I had some experience with Cassandra, but it was way out of date."
12;Sam Ramji;00:03:21.990;00:03:41.020;00:00:19.030;"Seeing what the Autodesk folks were doing with Cassandra was mind-boggling because we had nearly a thousand nodes, I think, when I left; five petabytes under management of the Cassandra ring. It was all of this live dynamic information connecting all these different applications and people predominately in construction, but also in mechanical engineering with supporting Autodesk Fusion."
13;Sam Ramji;00:03:41.020;00:04:00.550;00:00:19.530;"It was also way too hard. We had a dozen FTEs in the data team looking after Apache Cassandra, and some of them were making sure it operated properly: instrumenting it with Amazon Web Services; making sure that developers could use it; building SDKs, libraries, reliability kits, all these different things to use it properly."
14;Sam Ramji;00:04:00.550;00:04:31.530;00:00:30.980;"But the problem with doing that yourself means that you're not using those people to solve other harder problems. So I just felt Cassandra was so excellent, but it should be easier to use. Then, I got an opportunity to go work with a CEO who I'd worked with before at Apigee. He came to DataStax, and we started talking and I said, ""Cassandra's awesome, and Cassandra plus Kubernetes could be really amazing, because what if you can start to solve stateless and stateful workloads on the same core infrastructure?"" It can all be really smart. It can all scale really well, and you can do this lights-out operation."
15;Sam Ramji;00:04:31.530;00:04:41.190;00:00:09.660;"So if you're a microservices developer or whatever you happen to be doing, you can trust that the data is going to be there, it's going to be really fast, and it's going to scale properly. That's what took me to DataStax."
16;Simba Khadder;00:04:41.190;00:04:55.150;00:00:13.960;"That's awesome, and I love the... You have this mission or initiative. I'm sure, over time, that's changed, or it's expanded, or different things have taken priority. How are you thinking about MLOps in particular?"
17;Sam Ramji;00:04:55.500;00:05:20.200;00:00:24.900;"MLOps is a fascinating field. There's so much value being created in machine learning. There's lots of ways to measure it. Obviously, there's lots of investment. There's lots of startups being created. There's lots of people getting jobs in the field, and you're seeing old-line companies, train companies, home and do-it-yourself companies installing a Chief ML Officer or a Chief AI Officer. That's when you know something is really coming into the world."
18;Sam Ramji;00:05:20.200;00:05:39.330;00:00:19.130;"MLOps itself, I think about in three ways. One is that it's really, really early. When I look at the practices of MLOps, and obviously we're borrowing the term from DevOps, MLOps sounds like it's maybe as mature as DevOps, but it's nowhere near. If you can imagine DevOps without Git, you would go, ""Well, what is that?"""
19;Sam Ramji;00:05:39.770;00:06:06.400;00:00:26.630;"We didn't have DevOps when we were all on CVS and Subversion because there was a linearity to the flow of how you used software that you didn't have the ability to rewind your whole infrastructure. You didn't think, ""Oh, this Git-based, merge-pull structure enables me to test out things really quickly in production, take it forward, and if it blows up, rewind it."" That rewinding capability is core to DevOps; that's what makes it safe to go fast."
20;Sam Ramji;00:06:06.510;00:06:20.590;00:00:14.080;"MLOps lacks infrastructural elements that would make it easier, like versioning of the data or a rewind capability. And there's so many different ways people do MLOps. It's really diverse; it's all over the map. So its one thing is that it's early."
21;Sam Ramji;00:06:20.590;00:06:33.480;00:00:12.890;"The second thing is that MLOps is incredibly valuable because it does create an environment where you can predictably make better decision engines faster. Every business is basically a decision factory."
22;Sam Ramji;00:06:33.480;00:06:48.720;00:00:15.240;"One hundred years ago, people thought of businesses as production factories: You make a part, you move the part along, you sell a product. But the vast majority of companies today employ most of their people as decision workers, so they're a decision factory."
23;Sam Ramji;00:06:48.720;00:07:12.260;00:00:23.540;"The really powerful stuff is businesses that have been built like TikTok or Uber or John Deere, which are automating decisions through the models that are being emitted. The quicker that you can update or improve the model... So let's take a look at Spotify's MLOps system, as they come up with the new feature that has maybe a 1% or 2% better conversion or affinity than the prior model that they had."
24;Sam Ramji;00:07:12.260;00:07:26.750;00:00:14.490;"They want to get that into production as fast as possible, because if they can create a better conversion, better utilization, their whole business gets better because they have hundreds of millions of users. That's the second piece; it's incredibly valuable because of the scale at which most businesses are operating."
25;Sam Ramji;00:07:26.750;00:07:46.450;00:00:19.700;"Then, the third piece is that it's disconnected currently from the full lifecycle that we see that's needed to make companies really effective. We've got DevOps, and that's running happily at speed with a lot of maturity for microservices, back-ending all these apps that are getting powered."
