Number;Speaker;Start time;End time;Duration;Text
0;Speaker 1;00:00:06.070;00:00:27.570;00:00:21.500;"Hey, I'm Simba Kader, and you're listening to the Amelop's weekly Podcast. Today I'm chatting with Stefan Kravchik, former manager of data platform at Stitch Fix. He built and later open source the Hamilton Framework while he was there. And prior to that, he was an ML at LinkedIn next door and an MLP for enterprise startup. In his own words, crashed and burned. Stefan, so great to have you on the show today."
1;Speaker 2;00:00:27.680;00:00:30.980;00:00:03.300;"Yeah, thanks for having me. So excited. I gave a quick outline of how."
2;Speaker 1;00:00:31.000;00:00:34.600;00:00:03.600;"You got down Lost. I'd love to hear it in your own words. What was your story that got you."
3;Speaker 2;00:00:34.620;00:01:36.390;00:01:01.770;"Into how did I get into MLS? Well, I originally did computer science at Stanford and AI specialization. So I knew I wanted to do something around this new field of ML AI. So I guess at LinkedIn I kind of pivoted to kind of prototyping content based recommendation products. I got first hand experience like what it's like to build a bottle and try to get out to production. And next door I built similar things and related tools and technologies to first version of Data Warehouse that then we could build and get data to train models with and online experimentation and testing frameworks. That's what led me to go to the startup because I wanted to get better machine learning frameworks because I really wanted to understand how to operate them, how to build them, because I thought that was the future. So then the opportunity came up as Districts was like, come and help build a machine learning platform. Because that's kind of what before Mlaps was coined. That was, I think, people were trying to build machine learning platforms. And so that's what I was kind of interested in doing. And then, in which case, while I was at Citrix, I was a little more than just a platform, but just trying to help data scientists get things to production themselves."
4;Speaker 2;00:01:36.560;00:01:48.100;00:00:11.540;"The MLPs term was coined, so it was great. This is the easiest way that I can explain to someone what me and my team does that we're trying to help data scientists operationalize machine learning in a way that's self service. I love that."
5;Speaker 1;00:01:48.120;00:02:17.020;00:00:28.900;"Yeah, a lot of these terms we fill up with feature stores where I'll define a feature store to someone and we're like, oh yeah, we have that. And it's like, yeah, I mean, everyone built all these things. Anyone who's been in machine learning production has been doing Amal Ops forever. We didn't call it that and we didn't really even think about it that way. We didn't really break it down in that way. It was just like the platform for machine learning. For us, the feature store was something we called it our data platform for shitlining. Like, it wasn't the feature store that."
6;Speaker 2;00:02:17.100;00:02:18.760;00:00:01.660;"Turned kind of came later and we."
7;Speaker 1;00:02:18.780;00:02:20.540;00:00:01.760;"Said, yeah, that's what we built. It's a feature store."
8;Speaker 2;00:02:20.680;00:02:52.970;00:00:32.290;"Yes. I think it's like it's somewhat how DevOps came about. It's just rather than handing off, you're now trying to do things yourself and a best practice way to get things to production. In which case I was like, yeah, I mean, adding a feature store and thinking about features and models and data, it's a whole ecosystem. In which case I think, yeah, it makes sense. I was happy that whoever came up with it, came up with it because I'm like, great, this makes my job much easier to explain. But I was thinking about software engineering best practices and again, trying to bring in the DevOps mindset of like, how do you operationalized things without breaking production? You want to stop bad things from happening. So what's a good way to think about and do it?"
9;Speaker 1;00:02:53.070;00:03:00.050;00:00:06.980;"You kind of answered this question, but I want to just ask you. So it's, I guess, discreet for anyone listening. How would you define ML?"
10;Speaker 2;00:03:00.180;00:03:31.760;00:00:31.580;"Yeah, riffing on what I just said before. For me, the whole goal of The Mindset of Mops is to stop bad things from happening in production, but you're doing it and approaching it in such a way that you're bringing, I guess, what's termed developer operations or DevOps kind of best practice for deploying and getting to production. But then you're also thinking about software engineering best practices because machine learning is also data and code that you ship and package together. So it's really this kind of mindset of how do you stop bad things from happening in production? And then what are the techniques and ways and framings that you can kind of employ to make that happen?"
11;Speaker 1;00:03:31.840;00:03:53.330;00:00:21.490;"Yeah, I love that you brought up DevOps. It's interesting to see how everyone view of MLPs versus DevOps. They're always two different things, but some people say they're completely different. Other people are like, yeah, it's the same thing applies to different places. Some people I've talked to, some people are like, yeah, it's like 90% the same. MLS do not have to exist. How would you define the difference between MLPs and DevOps?"
