Number;Speaker;Start time;End time;Duration;Text
0;Simba Khadder;00:00:06.000;00:00:27.450;00:00:21.450;"Hey, I'm Simba Khadder, and you're listening to the MLOps weekly podcast. Today I'm chatting with Stefan Krawczyk, former Manager of Data Platform, at Stitch Fix. He built, and later opened source to Hamilton Framework while he was there. Prior to that, he was an employee at LinkedIn, Nextdoor and NLP enterprise start-up that, in his own words, crashed and burned. Stefan, so good to have you on the show today."
1;Stefan Krawczyk;00:00:27.690;00:00:29.430;00:00:01.740;"Yeah, thanks for having me, Simba. Excited."
2;Simba Khadder;00:00:29.580;00:00:35.160;00:00:05.580;"I gave a quick outline of how you got to MLOps, but I'd love to hear it in your own words. What was your story that got you MLOps?"
3;Stefan Krawczyk;00:00:35.640;00:01:36.360;00:01:00.720;"How do I get in to MLOps? Well, I originally did computer science at Stanford and I had specialization, so I knew I wanted to do something around this new field of ML, AI. I guess that. At LinkedIn I pivoted to prototyping content based recommendation products. I got firsthand experience, what it's like to build a bottle and try to get it out to production. At Nextdoor, I built similar things and related tools of technology. First version of data warehouse then we could build and get data to try and model with and online experimentation, A/B testing frameworks and so. That's what led me to go to the startup because I wanted to get better at machine learning frameworks because I really wanted to understand how to operate them, how to build them except that was for future. Then the opportunity came up with Stitch Fix was, come and help build a machine learning platform because that's why MLOps was coined. That was, I think, people were trying to build machine learning platforms and so that's what I was interested in doing. While at Stitch Fix, I was building a little more than just a platform but trying to help data scientists build, get things to production themselves."
4;Stefan Krawczyk;00:01:36.660;00:01:47.220;00:00:10.560;"The MLOps term was coined so it was great. This is like the easiest way that I can explain to someone what me and my team does. We're trying to help. Data scientists operationalize machine learning in a way that's self-service."
5;Simba Khadder;00:01:48.740;00:02:19.540;00:00:31.900;"I love a lot of these terms. Like, [inaudible 00:01:50] with feature store. Well, define a feature store to someone and they're like, ""Oh yeah, we have that."" Everyone built all these things. Anyone who's been doing machine learning production has been doing MLOps forever. We didn't call it that and we didn't really even think about it that way. We don't really break it down in that way. It was just the platform for machine learning. For us, the feature store was something we used called it our data platform for machine learning. It wasn't the feature store that came later and we said, ""Yeah, that's what we built, it's a feature store."""
6;Stefan Krawczyk;00:02:20.760;00:02:52.560;00:00:33.160;"Yeah. I think it's similar to how DevOps came about. Rather than handing off, you're now trying to go do things yourself in the best practices way to get things to production. In which case, adding a feature store and thinking about features and models and data, it's all ecosystem. In which case, it makes sense. I was happy that whoever came up with that came up with that. I'm like, ""This is great. This makes my job much easier to explain."" Thinking about the software engineering best practices and again trying to bring in the DevOps mindset of how do you operationalize things without breaking production, you want to stop bad things from happening so what's a good way to think about and do it."
7;Simba Khadder;00:02:53.160;00:03:00.030;00:00:07.170;"You've answered this question, but I wanted to ask you so it's discrete for anyone listening. How would you define MLOps?"
8;Stefan Krawczyk;00:03:00.180;00:03:31.680;00:00:31.500;"You're sort of riffing on what I just said before. For me, the whole goal, the mindset of MLOps is to stop bad things from happening in production but you're doing it in and approaching it in such a way that you're bringing what's termed developer operations or DevOps, best practices for deploying and getting to production. But then you're also thinking about software engineering best practices because machine learning is also data and code that then you ship and package together. It's really the mindset of how do you stop bad things from happening production and then what are the techniques and ways and framings that you can employ to make that happen."
9;Simba Khadder;00:03:32.070;00:03:53.190;00:00:21.120;"I love that you brought up DevOps. It's interesting to see how everyone's view of MLOps, which is DevOps, are obviously different things, but some people say they're completely different. Other people are like, it's just the same thing, applied in different places. Some people I've talked to, some people are like, it's like 90% the same. MLOps doesn't even have to exist. How would you define like the difference between MLOps and DevOps?"
